,Year,Quantity,Exchange,Shift
0,1985 to 1990,11480551.0,20242980.0,10628073.0
1,1990 to 1995,14617703.0,18009044.0,9529751.0
2,1995 to 2000,15711143.0,15311710.0,8279522.0
3,2000 to 2005,17470030.0,15815120.0,8203996.0
4,2005 to 2010,7151006.0,17146954.0,8948754.0
5,2010 to 2015,6439342.0,17990356.0,9363771.0
