,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,515153678.0,1005552.0,19056831.0,103183.0,471970.0,384.0
NaturalNonForestFormation,693445.0,48199947.0,3242352.0,73641.0,131888.0,192.0
Agriculture,8074336.0,1261701.0,231756270.0,423680.0,144682.0,471.0
NonVegetatedArea,15898.0,46223.0,173330.0,4066682.0,8416.0,648.0
BodiesofWater,293357.0,177332.0,307616.0,30640.0,16271729.0,402.0
NotObserved,196.0,141.0,463.0,376.0,375.0,17342.0
