,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,532948961.0,321858.0,2302390.0,41279.0,176944.0,167.0
NaturalNonForestFormation,265591.0,51500277.0,488287.0,38283.0,48908.0,118.0
Agriculture,1526897.0,448463.0,239583650.0,61898.0,40116.0,116.0
NonVegetatedArea,8054.0,12720.0,101608.0,4185445.0,3227.0,141.0
BodiesofWater,110262.0,106056.0,19039.0,1535.0,16843835.0,349.0
NotObserved,177.0,125.0,122.0,160.0,171.0,18138.0
