,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,524527863.0,831625.0,24520558.0,100260.0,619187.0,379.0
NaturalNonForestFormation,1177759.0,50511158.0,2987242.0,65485.0,380498.0,167.0
Agriculture,8923255.0,1210964.0,214881081.0,319995.0,230606.0,144.0
NonVegetatedArea,19369.0,44324.0,194569.0,3711363.0,19130.0,538.0
BodiesofWater,204775.0,91383.0,62334.0,11186.0,15537697.0,257.0
NotObserved,176.0,121.0,1845.0,456.0,479.0,17139.0
