,Year,Quantity,Exchange,Shift
0,1985 to 1990,2296110.2,4048596.0,2125614.6
1,1990 to 1995,2923540.6,3601808.8,1905950.2
2,1995 to 2000,3142228.6,3062342.0,1655904.4
3,2000 to 2005,3494006.0,3163024.0,1640799.2
4,2005 to 2010,1430201.2,3429390.8,1789750.8
5,2010 to 2015,1287868.4,3598071.2,1872754.2
