,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,583084709.0,386346.0,3478177.0,32413.0,120444.0,152.0
NaturalNonForestFormation,294301.0,55276547.0,522469.0,23329.0,52791.0,87.0
Agriculture,1468552.0,408448.0,186680407.0,83189.0,87906.0,54.0
NonVegetatedArea,7411.0,11867.0,86238.0,3026225.0,3123.0,141.0
BodiesofWater,171658.0,89294.0,42983.0,2320.0,15742122.0,187.0
NotObserved,189.0,113.0,52.0,194.0,212.0,20721.0
