,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,536904281.0,224166.0,3277260.0,25293.0,113963.0,124.0
NaturalNonForestFormation,249943.0,52855705.0,502321.0,26362.0,75864.0,132.0
Agriculture,1386172.0,392332.0,233962876.0,52179.0,42113.0,70.0
NonVegetatedArea,5893.0,15730.0,95305.0,3988819.0,2094.0,154.0
BodiesofWater,113479.0,34451.0,31613.0,1759.0,16805535.0,171.0
NotObserved,134.0,81.0,195.0,138.0,199.0,18465.0
