,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,542961600.0,1246719.0,30476406.0,138877.0,523547.0,324.0
NaturalNonForestFormation,887674.0,52010996.0,2756926.0,83617.0,238364.0,146.0
Agriculture,6853590.0,1598023.0,191538247.0,455564.0,185516.0,302.0
NonVegetatedArea,13857.0,45221.0,146797.0,3073809.0,9288.0,422.0
BodiesofWater,425034.0,340609.0,129293.0,13727.0,15029385.0,407.0
NotObserved,365.0,179.0,918.0,515.0,413.0,18696.0
