,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,552785093.0,289234.0,3495332.0,41715.0,119261.0,145.0
NaturalNonForestFormation,315886.0,54191118.0,523998.0,57494.0,69711.0,89.0
Agriculture,1420838.0,549043.0,216883529.0,82132.0,44698.0,85.0
NonVegetatedArea,2824.0,16639.0,74544.0,3668484.0,1309.0,139.0
BodiesofWater,128573.0,85918.0,55301.0,9377.0,16272192.0,178.0
NotObserved,144.0,129.0,176.0,158.0,176.0,19709.0
