,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,523404249.0,460718.0,2503395.0,9806.0,115220.0,243.0
NaturalNonForestFormation,348923.0,49993400.0,531835.0,29344.0,133272.0,103.0
Agriculture,1279524.0,130767.0,250148609.0,53032.0,87409.0,55.0
NonVegetatedArea,5250.0,16124.0,69099.0,4823391.0,2735.0,168.0
BodiesofWater,110248.0,118368.0,25076.0,3449.0,16772342.0,222.0
NotObserved,1241.0,91.0,464.0,115.0,112.0,26969.0
