,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6170751.7743,0.0,79.93869032,16457.7626213,388795.77439,4.750863251,0.15838976400000002,17042.1416485,0.228527063,1488.897567383,0.155929022,4861.62084094,68.38877967,837.0698129,2026.09825
Aquaculture,0.308171539,15.40895582,,,,,,,,,,4.699725928,,0.7704291440000001,
Beach and Dune,178.94169130000003,,93269.48116,0.153290326,1018.209724,,,1.22579873,9.882715112,903.3063061,,405.3819034,,10.05273937,0.535422375
Forest Plantation,1432.4485786999999,,0.076886926,326273.5515,152.44819019999997,53.10943593,,480.7385626,,0.22996874399999997,,0.0,0.0,11.36599718,0.456026868
Grassland,925494.3066,0.0,407.58759489999994,20216.22395,6414117.685,32.59779488,,102086.6513,0.684602252,2087.8446489999997,,6630.04453,39.31916402,1665.9925050000002,4059.488065
Mining,13.91959496,,,0.6880670040000001,0.76781441,607.2061607,,0.076452637,,8.610528394,,0.6205306270000001,13.39146254,4.338183948,
Mosaic of Agriculture and Pasture,0.548998346,,,0.0,,,35.82896176,0.079198462,,0.0,0.0,0.0,,0.077819232,
Natural Forest,23457.104908999998,,0.0,28309.449480000003,52248.7311,28.55331641,0.0,2382158.313,0.153518842,87.89123436,0.0,1657.851592,0.07707428,564.5316326000001,479.2357458000001
Non Observed,0.076505005,,13.68417531,,0.304655353,,,0.0,35.97830848,13.31276301,,8.575625244,,0.0,0.0
Other Non Vegetated Area,6858.685908,,1233.23911,71.05376535,18872.695780000002,5.439997472999999,0.0,676.8003947000001,17.40528458,125933.912,,1466.850894,327.9213923,704.3892834,7.029375458
Pasture,0.546833759,,,0.0,,,0.077880408,0.077846759,,,6.4407114320000005,,,0.077819641,
"River, Lake and Ocean",4696.53965364,0.154093079,65.08975378,3.614356335,1562.672859,1.30853678,,1156.988676,8.789437762,368.85227260000005,,1858766.523,0.230157568,7.042576801,1385.3285
Rocky outcrop,132.3783321,,,0.154568457,158.8067121,1.45573269,,4.7551809689999995,,8.373777588,,4.5372722780000005,12237.85391,0.154841785,
Urban Infrastructure,0.234379193,0.0,40.81596533,,0.6179825870000001,1.230990704,,0.385397626,0.0,0.467568921,,0.0,,106017.7161,0.15204725300000002
Wetland,1044.714089502,,0.0,8.480919391,2813.296705,,0.0,441.97983960000005,0.0,3.520643256,,179.7447354,,6.557816534,251099.889
