,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6649476.66315,0.0,0.460704254,1322.14847182,102366.553565,0.46213161,0.0,5573.0013894,0.0,597.614831721,0.0,3215.249230871,14.97323995,279.37665099,797.0988036
Aquaculture,0.308171539,7.704444757,,,,,,,,,,5.6242485779999996,,0.7704291440000001,
Beach and Dune,0.762027441,,95109.69409,0.0,10.20538065,,,0.0,3.251085999,124.60800390000001,,10.74960221,,2.07660611,0.0
Forest Plantation,117.89730254,,0.0,402718.7485,165.03447880000002,1.3923543269999998,,1143.98446,,0.229895758,,0.155749536,0.0,0.153263885,1.215589758
Grassland,278022.15136099997,0.0,10.73626375,596.021294,6965956.387999999,3.910106683,,16586.37378,0.45363322799999994,809.7749319000001,,6228.503965,21.558123100000003,313.39074569999997,4135.219838
Mining,0.152889679,,,0.0,0.229323462,713.2794116,,0.0,,0.15515658,,0.0,0.92364538,0.152897681,
Mosaic of Agriculture and Pasture,0.157303381,,,0.0,,,39.07841733,0.0,,0.0,0.0,0.0,,0.155638672,
Natural Forest,9023.37887656,,0.0,4792.009604,12055.4707,0.30913909300000003,0.0,2461848.749,0.152960577,32.02546062,0.0,542.8447851,0.0,42.22312026,195.4421163
Non Observed,0.076505219,,9.342277496,,0.07469049700000001,,,0.0,61.76686595,2.482966809,,0.075289258,,0.0,0.22844776600000002
Other Non Vegetated Area,2377.43222447,,114.3028902,5.616621539,4565.684219,0.616189832,0.0,43.00362572,7.71986709,127033.9999,,664.6379479,4.109671112,88.12760748,4.1424525569999995
Pasture,0.0,,,0.0,,,0.0,0.0,,,6.426376782,,,0.0,
"River, Lake and Ocean",2326.760610818,0.0,1.296916138,1.312005396,909.2571267999999,0.23050085399999998,,937.2583718000001,0.0,57.29939369,,1856252.053,0.38276532,0.62134856,213.89267400000003
Rocky outcrop,28.02340938,,,0.0,32.56043643,0.153949005,,0.0,,7.174573627000001,,0.230839532,14162.564840000001,0.0,
Urban Infrastructure,0.233275366,0.0,4.249879633,,0.5398409670000001,0.537395093,,0.310750848,0.0,0.30991731,,0.0,,109293.2964,0.076024176
Wetland,118.239304599,,0.0,0.616912616,361.6449372,,0.0,64.09519167,0.0,3.51412876,,63.21172075,,0.228679242,246768.4171
