,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6974487.44429,0.0,0.528486169,84.150047865,72473.002465,0.07760598099999999,0.0,5585.3316215899995,0.68401828,492.493756943,0.0,946.597661345,7.596143756,144.110695929,178.42898063099997
Aquaculture,0.0,6.5489507510000005,,,,,,,,,,0.0,,0.0,
Beach and Dune,0.6902935,,93622.43974,0.0,16.136472,,,0.0,5.910767206,117.53943329999998,,27.21492656,,3.621131873,0.0
Forest Plantation,895.32869549,,0.0,431981.9942,19.08041627,0.155184991,,207.9462646,,0.153507434,,0.0,0.0,4.734598157,0.228113135
Grassland,172054.130311,0.0,4.4812547060000005,107.29778859999999,6677640.292,6.984477362000001,,13367.67901,0.30709024,1054.3138509999999,,712.5805803,7.512949841,124.96591599999999,521.4724166999999
Mining,5.281656396,,,0.07645437,0.462042432,760.207953,,0.153416406,,4.650203082,,0.0775703,4.618308313,0.849960388,
Mosaic of Agriculture and Pasture,0.078702374,,,0.0,,,40.75684977,0.077884711,,0.0,0.0,0.0,,0.0,
Natural Forest,9580.26963923,,0.0,1151.091955,8434.221134000001,0.620807422,0.0,2559065.827,0.154145935,14.18551606,0.0,964.3221623,0.07707428,8.469703607000001,114.11999709999999
Non Observed,0.0,,1.970193939,,0.22755842899999998,,,0.076172241,60.47013494,4.002554181,,2.557893628,,0.075951953,0.077070892
Other Non Vegetated Area,1081.50348468,,98.38024562,0.615656305,899.8427575999999,0.0,0.0,46.10052189,3.7755245910000004,97682.88837999999,,68.11181992,0.384326282,56.61727726,0.230951385
Pasture,0.0,,,0.0,,,0.078116681,0.0,,,7.991455987999999,,,0.0,
"River, Lake and Ocean",2757.53213073,0.847493707,1.28305213,0.155440125,693.873207,0.23266915300000002,,709.7378528,1.206541754,174.6701466,,1872717.5980000002,0.15393880599999998,5.616683887000001,145.39450549999998
Rocky outcrop,14.15416724,,,0.0,37.54271737,1.382331854,,0.0,,2.302535883,,0.769166528,12789.5102,0.0,
Urban Infrastructure,0.234500537,0.0,6.03273988,,0.312387567,0.6171392520000001,,0.311190167,0.0,0.934976563,,0.078965125,,112730.0355,0.0
Wetland,518.0444855000001,,0.0,0.5380412170000001,849.0397025000001,,0.0,79.34331309,0.0,1.325524353,,125.4445825,,0.381606561,260194.5496
