,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,5924418.4351,0.0,106.06927659999998,36625.281941,417052.74356000003,4.02845672,0.31450733,24693.517115,0.149369263,1224.18632336,0.07790356400000001,7698.5270128,69.65264412,1708.3582141000002,2924.5917061180003
Aquaculture,0.0,0.46227457299999997,,,,,,,,,,0.0,,0.0,
Beach and Dune,92.34925935,,93260.84734,5.045845557,3447.2799170000003,,,69.49984738,22.44295971,1430.438009,,223.7418616,,52.92869401,0.076489001
Forest Plantation,5280.5711411,,0.076884155,232455.4611,118.9043017,64.79662276,,347.5787344,,0.076842767,,0.382317267,0.0,22.49801681,0.377179401
Grassland,1367617.0787,0.0,1311.54915,74920.66627,6194758.576,26.84678828,,147807.266,0.690888873,2655.947761,,8635.84468,139.8110577,4185.099137,3805.6974179999997
Mining,25.38574966,,,0.772338574,1.763724377,622.4231432,,0.0,,17.79220727,,0.770031494,9.632509351,19.72581329,
Mosaic of Agriculture and Pasture,2.13210827,,,0.0,,,40.24891205,0.625521814,,0.0,0.0,0.0,,0.548278784,
Natural Forest,38636.345904,,0.076887567,49114.942,65112.20966,22.19051646,0.155713629,2276062.6,0.305689996,89.54787123,0.0,2094.861687,0.076459351,1199.046166,427.43032719999997
Non Observed,0.0,,11.24383619,,0.07837395,,,0.149382373,28.5410794,12.62292734,,16.62930151,,0.0,0.0
Other Non Vegetated Area,12285.622588,,2300.29027,646.0740041,27246.14072,7.705057928,0.0,2738.332881,19.38741873,124750.3905,,1150.400884,348.1356272,1904.572711,33.59889724
Pasture,1.489184271,,,0.0,,,0.0,0.0,,,5.8924703670000005,,,0.155722595,
"River, Lake and Ocean",5633.7154945,8.629177423,87.25474891,13.81985906,4485.0062689999995,0.774602985,,1677.377756,6.808264453,283.9733758,,1848368.89,1.6938782469999998,17.1566128,1100.629347
Rocky outcrop,76.156586025,,,0.307828906,312.711481,11.84719654,,32.03844445,,15.277362599999998,,4.461984705,12122.19762,3.911312115,
Urban Infrastructure,0.077558881,0.0,109.4086881,,0.465911554,15.51140186,,0.077450012,0.0,0.15514080800000002,,0.0,,102795.2929,0.15357225300000002
Wetland,1033.7764413700002,,3.2110802119999997,18.36576889,4206.459474,,0.0,666.4087400000001,0.0,9.297182207999999,,258.1357259,,31.95335803,241930.7055
