,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6857528.57589,0.0,0.07516431900000001,753.0862223700001,94039.752511,0.305760071,0.0,5262.48685496,0.381262616,548.30734814,0.0,3184.05347774,16.05050757,121.46549201,401.11085299999996
Aquaculture,0.0,3.62118396,,,,,,,,,,0.0,,0.0,
Beach and Dune,20.11181807,,94419.71904,0.0,81.16207758,,,0.0,2.879564215,191.7929997,,309.9948943,,5.826888928,0.0
Forest Plantation,239.45536257,,0.0,419211.2837,310.8185732,1.613451276,,1412.825224,,0.153846832,,0.077610754,0.0,6.161178595,0.153729712
Grassland,192501.568298,0.0,2.9126893430000003,94.82412059,6829704.7,0.309256702,,16748.07822,0.153024457,1458.371221,,1416.829219,4.579008911,124.6775587,2015.0243649999998
Mining,0.382205115,,,0.076453937,0.077576941,749.4315187999999,,0.0,,0.231663599,,0.310225745,0.846675452,0.15292736199999998,
Mosaic of Agriculture and Pasture,0.077876715,,,0.0,,,39.66060578,0.0,,0.0,0.0,0.0,,0.0,
Natural Forest,6881.7340192599995,,0.0,4118.457565,5570.045006,0.07760495,0.0,2479480.236,0.0,5.340169965,0.0,702.6881495,0.0,65.48522993,81.50671819
Non Observed,0.074681757,,9.331815997,,0.383131525,,,0.153046954,47.51564968,13.52653749,,1.823890704,,0.22785871600000002,0.0
Other Non Vegetated Area,1968.07929958,,121.6354815,1.461219891,2830.949702,0.07645177,0.0,60.47192933,7.25827193,109309.50099999999,,435.87191950000005,4.785757947,124.6694375,1.541638043
Pasture,0.0,,,0.0,,,0.0,0.0,,,6.977306592000001,,,0.0,
"River, Lake and Ocean",2559.43193436,0.61637464,1.05894726,0.23357452399999998,386.3454731,0.0,,1275.367839,11.42449206,77.77678869,,1869084.9440000001,0.6120396060000001,0.22785542,307.1635916
Rocky outcrop,61.297723620999996,,,0.077151428,101.3054361,0.536226526,,0.30880980199999997,,1.470416315,,0.0,13694.22425,0.154841785,
Urban Infrastructure,0.0,0.0,8.740775989,,0.464873572,0.308060022,,0.232915796,0.0,0.311068854,,0.0,,111065.30900000001,0.0
Wetland,461.61181799999997,,0.0,3.306617151,564.6661496,,0.0,166.64444619999998,0.0,6.875010565,,346.7797488,,0.0,256661.7087
