,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,7331185.281239999,0.0,0.0,13.037018806999999,67737.087003,0.308091345,0.0,2292.08933712,0.535144769,2398.4226736670003,0.0,747.9481786680001,14.09671238,519.95130137,261.447873629
Aquaculture,0.0,13.32890695,,,,,,,,,,0.077043573,,0.0,
Beach and Dune,0.0,,95064.8232,0.0,2.435958716,,,0.0,0.22629551399999998,4.759768787,,0.303870978,,0.385306659,0.0
Forest Plantation,740.0425616,,0.0,455795.1681,18.26055378,0.07756864,,20.666941,,0.076842767,,0.07754101,0.0,1.2402070859999998,0.0
Grassland,114177.617991,0.0,0.60874447,23.89696423,6411508.71,0.309281384,,6050.265154,0.15307785599999998,541.9997055,,736.2059477999999,43.01281219,350.6334598,659.2061001000001
Mining,0.924263525,,,4.578839691000001,1.157373212,868.6812425,,0.232799908,,0.920614398,,0.23268432,0.076448303,1.699232813,
Mosaic of Agriculture and Pasture,0.70611759,,,0.0,,,38.01788954,0.0,,0.0,0.0,0.0,,0.0,
Natural Forest,8059.84293773,,0.0,65.03259279,7285.116005,0.0,0.0,2546494.8030000003,0.07645437,50.56924763,0.0,335.8500027,0.0,63.57767353,33.35758297
Non Observed,0.0,,0.075011804,,0.757506165,,,0.149382373,67.69145616,8.583789435,,0.53072735,,0.0,0.0
Other Non Vegetated Area,322.32973716,,6.02594212,0.0,1396.522336,0.309164648,0.0,36.70852961,0.675425708,82816.50833,,91.37910807,0.9965681340000001,358.8516913,0.0
Pasture,0.0,,,0.0,,,0.0,0.0,,,6.738083221,,,0.0,
"River, Lake and Ocean",1279.055978497,0.0,0.451508588,0.07760971700000001,570.3471936000001,0.23159016100000002,,283.67301569999995,8.961296222,134.57499199999998,,1867934.7619999999,0.30765741,0.079001099,108.55828100000001
Rocky outcrop,7.821571375,,,0.0,12.92201033,0.38278125,,0.0,,1.923727002,,0.07695781900000001,12429.67111,3.680121497,
Urban Infrastructure,0.311723608,0.0,0.0,,0.846420416,0.694782184,,0.231391058,0.0,0.23318826899999998,,0.0,,115031.9201,0.0
Wetland,920.5265813049999,,0.0,0.536223975,1355.03335,,0.0,116.2061044,0.0,0.9386705259999999,,134.3597622,,1.296944299,251954.2466
