,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,5403936.2343,0.0,79.18054469,18259.007369,521142.62786,32.491173876,0.236122583,37767.338469999995,0.37706462399999996,5493.876888700001,0.077707782,4718.756137200001,134.3488391,630.02313961,944.867650036
Aquaculture,0.0,11.47952233,,,,,,,,,,0.0,,0.0,
Beach and Dune,313.9869859,,90562.81804,9.587010004,1363.194276,,,2.4431819519999998,14.3356027,6376.253453,,132.2980953,,134.2812094,0.305747388
Forest Plantation,1684.4929788,,0.615772906,149114.6487,387.58667379999997,35.46751306,,3166.944903,,1.606879596,,0.231333173,0.0,10.77420479,7.31064071
Grassland,1098122.1467,0.077044208,1166.982143,112373.0591,6942913.955,21.621405399999997,,174143.8056,0.15160341800000002,5625.804055,,7401.98936,177.7949738,2145.0511239999996,2305.984531
Mining,0.843537616,,,0.152910687,0.459844775,615.2370099,,0.30918286100000003,,31.3883549,,1.549170612,82.80713751,36.47798508,
Mosaic of Agriculture and Pasture,2.1305216490000003,,,0.0,,,37.04942648,0.0,,0.0,0.079180841,0.0,,0.157960181,
Natural Forest,34261.935273,,3.4476965880000003,18395.74075,66803.3923,3.954500177,0.314497711,2265172.94,0.076538281,188.69687209999998,0.0,1489.7526599999999,0.615872015,607.4236399,687.9216775
Non Observed,0.0,,13.89806473,,0.074690723,,,0.229927911,30.59971816,22.27665771,,9.750251263,,0.0,0.0
Other Non Vegetated Area,4623.437470899999,,3334.532097,291.57721539999994,7778.338331,0.922965417,0.0,1707.647116,14.19837739,126042.8754,,230.62668709999997,178.2208696,1280.2182070000001,12.7814287
Pasture,0.782348084,,,0.0,,,0.077921381,0.0,,,8.447794391,,,0.0,
"River, Lake and Ocean",10406.83516164,2.311388745,1155.231851,10.96592507,12460.01553,1.614602026,,2489.771158,11.50932991,2569.016454,,1869412.7119999998,1.538999646,48.28199787,2108.402806
Rocky outcrop,73.13477222,,,0.308982159,71.78030643,0.152891412,,4.747908838,,236.4247897,,1.4647343080000002,10734.35593,0.0,
Urban Infrastructure,0.230080249,0.0,25.36276484,,0.84992735,0.38559315200000005,,0.31072243,0.0,0.156575739,,0.0,,96043.89607,0.0
Wetland,2301.971285035,,0.8383122190000001,1.608723401,5611.876871,,0.0,584.3330013,0.0,34.69494089,,323.471431,,9.371346716,248025.1697
