,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,5298569.48504,0.0,200.3782066,32345.299641,533756.92314,21.959208269,0.868739331,36774.667907,0.377945801,2080.2853422,0.233513361,5752.084928099999,133.5517025,1903.3184558,1314.439655264
Aquaculture,0.462256989,7.0879937989999995,,,,,,,,,,3.3899665469999998,,1.001556256,
Beach and Dune,279.2736264,,88354.96391,142.7764569,6989.973303,,,291.1462855,24.27437888,3526.03453,,316.0503332,,264.6029515,0.764633875
Forest Plantation,2475.3072445,,0.61581604,148930.9608,342.093525,103.3418463,,2415.0756530000003,,0.924380768,,0.304791309,0.0,40.05968871,23.23699011
Grassland,1712263.0428,0.0,1973.698957,186555.99399999998,6276398.039,49.92134202,,210841.4206,0.765953674,3211.6289100000004,,12896.992259999999,191.7248563,5998.1969340000005,1620.618092
Mining,15.68250081,,,4.03357323,6.193604755,640.4398973,,0.30790587199999997,,10.25577654,,7.600072644,41.28354111,40.7814644,
Mosaic of Agriculture and Pasture,1.649154602,,,0.0,,,36.18472392,0.31580351,,0.0,0.07914885299999999,0.0,,0.548300592,
Natural Forest,48201.03547,,0.302157159,30921.62947,68920.08687,40.42156283,0.155936426,2258805.707,0.076539362,194.8136427,0.0,2424.725984,0.9229367190000001,1808.033118,798.1677419
Non Observed,0.149380066,,13.82618195,,0.677760535,,,0.0,31.54053993,12.38871634,,15.23695798,,0.0,0.149382373
Other Non Vegetated Area,7431.342546,,4451.203203,1266.437909,20401.09804,5.6022479060000006,0.07805487700000001,3378.338322,8.627086646,108269.4725,,486.1833558999999,283.236904,2805.061596,54.34743068
Pasture,1.722145532,,,0.0,,,0.077840601,0.0,,,6.260500256,,,0.0,
"River, Lake and Ocean",9082.3579459,4.468700952,686.5504929,39.42940946,7280.934313,2.791272528,,2196.658331,10.36708264,957.4784697999999,,1860545.86,1.306104382,83.64507983,4033.9021369999996
Rocky outcrop,89.10349128,,,1.234356958,166.63986090000003,4.974681073,,41.47354868,,15.20152667,,8.385471222,10261.185109999999,0.0,
Urban Infrastructure,0.077558881,0.0,76.50063781,,0.077561786,3.4073257260000003,,0.229881219,0.0,0.389797784,,0.0,,94172.54686,0.0
Wetland,1961.1930492099998,,13.16490287,22.83455843,7458.182548999999,,0.0,500.71530830000006,0.0,10.23778383,,485.001498,,39.52702654,250147.8338
