,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6089374.10482,0.0,0.0,2667.5285575099997,101501.303589,0.0,0.0,7262.95092295,0.07837395,1738.33186287,0.07770674400000001,1332.015239,1.702643317,0.078586658,439.96639630000004
Aquaculture,0.385214264,5.161999853999999,,,,,,,,,,6.702833777,,0.0,
Beach and Dune,0.46025056799999997,,99662.85874,0.0,20.90689652,,,0.0,3.8661260860000004,358.628785,,22.82223901,,2.153646143,0.0
Forest Plantation,579.80723025,,0.692606061,199275.4705,54.48591085,0.38455225200000004,,334.3401698,,0.07690611,,0.0,0.0,0.0,0.0
Grassland,254459.137967,0.0,36.62093705,11054.15171,7725329.879,0.230458954,,30139.92662,0.0,1997.402582,,2049.233486,40.66678058,0.619691345,391.2170881
Mining,0.0,,,0.0,0.152890326,735.2662757999999,,0.076977161,,2.9087431269999997,,0.0,11.16946886,0.99960365,
Mosaic of Agriculture and Pasture,0.077823138,,,0.0,,,43.41729976,0.0,,0.0,0.0,0.0,,0.0,
Natural Forest,22615.40394286,,0.0,6575.582842,14046.39842,0.0,0.0,2408773.5719999997,0.07653892799999999,253.53204469999997,0.0,700.4274889999999,0.385419946,0.077773145,207.9899142
Non Observed,0.0,,6.52896958,,0.6106486999999999,,,0.152048352,54.85356802,3.5569708189999996,,2.638090698,,0.0,0.0
Other Non Vegetated Area,1780.0491386400001,,80.62787682,25.30685786,2340.470414,0.076447656,0.0,44.99632357,8.937737482000001,166687.6257,,421.709392,164.3747354,0.308984912,0.840988995
Pasture,0.0,,,0.0,,,0.0,0.0,,,7.374239252000001,,,0.0,
"River, Lake and Ocean",7400.16837288,0.0,10.78043257,138.60748130000002,1945.4918760000003,0.23280404100000002,,1395.475643,1.221424603,508.32462419999996,,1860451.4440000001,0.8461132809999999,0.0,276.11710560000006
Rocky outcrop,5.060822742,,,0.0,0.621009454,0.0,,0.0,,9.387712354,,0.15393774400000002,11580.32401,0.0,
Urban Infrastructure,0.31115307600000003,0.0,2.945327704,,0.772764227,0.0,,0.155482794,0.23339661899999997,0.38402053799999997,,0.0,,102919.5899,0.0
Wetland,553.0652525,,0.0,0.15369898099999998,1336.013083,,0.0,73.35364548,0.074691187,3.6924729,,47.73578813,,0.0,247232.27800000002
