,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6048889.50299,0.0,0.37707912600000004,354.040258409,112304.931594,0.30576267100000004,0.0,7997.178408410001,0.300475958,2798.83102099,0.0,1471.8551397259998,92.95886327,24.955854412,290.929601
Aquaculture,0.23112860100000002,7.0879812929999995,,,,,,,,,,0.0,,0.0,
Beach and Dune,0.45192486,,97133.25799,0.0,5.293058008,,,0.0,6.427681232,385.9025978,,3.4232168819999997,,2.94414267,0.0
Forest Plantation,274.02337442,,0.0,150767.9875,46.46747829,0.232719202,,1242.2809539999998,,0.0,,0.153860425,0.0,0.077596448,4.447102991
Grassland,313342.99796999997,0.0,1.6746582890000001,121.53605359999999,7882042.405,0.23272688,,11728.20695,0.230047418,1679.920113,,1034.467942,172.6144956,111.2144,398.62718110000003
Mining,0.155228967,,,0.0,0.306939636,774.117651,,0.0,,0.07697991900000001,,0.0,0.612129962,0.0,
Mosaic of Agriculture and Pasture,0.0,,,0.0,,,44.42253179,0.0,,0.0,0.0,0.0,,0.0,
Natural Forest,20402.8013764,,0.0,793.1441469,20702.32781,0.076444403,0.077895782,2299334.445,0.536257635,73.50983214,0.0,484.7839938,2.078946649,9.864694049,222.7928606
Non Observed,0.0,,3.950779962,,0.601702679,,,0.0,55.4323632,6.085345459,,8.888230707,,0.077000092,0.0
Other Non Vegetated Area,2215.9132165,,156.07172480000003,7.855140344,5433.278136999999,0.0,0.0,78.00215816,11.30615768,152348.4672,,133.6841518,213.25307709999998,152.767493,29.99247293
Pasture,0.0,,,0.0,,,0.0,0.0,,,9.163205182,,,0.0,
"River, Lake and Ocean",6482.340027029,0.0,170.4867436,0.0,5701.392292,0.07757113,,723.1235343,3.628878619,1482.649045,,1879117.9330000002,1.075632251,4.4181867189999995,299.98575980000004
Rocky outcrop,0.386827606,,,0.0,1.16032981,0.076460217,,0.0,,32.76397167,,0.30760397300000003,11030.62433,0.0,
Urban Infrastructure,0.0,0.0,0.615142462,,0.5394018979999999,0.15405523699999998,,0.23312542100000003,0.0,1.402465485,,0.077804224,,97594.76958,0.0
Wetland,1232.414911634,,0.0,0.0,4668.894459,,0.0,108.17873190000002,0.0,1.097905194,,34.78034249,,0.077767584,244492.4298
