,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6005117.5861,0.0,103.44518190000001,37119.522989000005,337427.05769999995,3.562830341,0.236772394,23905.677614000004,0.151223029,958.8280275999999,0.0,7426.395954300001,52.53684304,1762.6289827,2648.302908166
Aquaculture,0.0,0.46227457299999997,,,,,,,,,,0.0,,0.0,
Beach and Dune,172.3726009,,93129.61412,7.574987537,3073.7121850000003,,,38.10390497,18.52270318,1875.888229,,244.4128127,,40.54774895,3.900929596
Forest Plantation,7685.604367,,0.076884155,230169.0607,81.3614241,31.43385729,,285.8002742,,0.076842767,,0.38234340200000005,0.0,36.69908909,0.227363562
Grassland,1686898.4407000002,0.0,1338.397319,80061.05226,5858167.357000001,20.02101906,,158076.8086,1.150895148,2224.383044,,9037.176658,122.05072209999999,4340.943864,5577.291216
Mining,34.79592461,,,1.154608899,0.8419852659999999,610.2534009999999,,0.0,,17.49149858,,1.230968469,8.564835693,23.93229475,
Mosaic of Agriculture and Pasture,2.8415800659999997,,,0.0,,,39.38243329,0.703406525,,0.0,0.07912226,0.0,,0.548278784,
Natural Forest,52166.804840000004,,0.076887567,51716.18445,59162.21743,17.22358257,0.077859894,2264925.417,0.305342572,170.9140102,0.0,2585.57163,0.153484906,1221.000773,793.8420401000001
Non Observed,0.0,,11.54020332,,0.07837395,,,0.22592130100000002,31.17616945,13.63512253,,12.60911021,,0.0,0.0
Other Non Vegetated Area,16106.182921,,2519.797215,714.2729511,22416.39145,5.63917276,0.0,2747.3119699999997,21.57384256,125261.0965,,1274.367108,361.8825877,1974.4428239999997,27.69298948
Pasture,1.646240612,,,0.0,,,0.0,0.0,,,5.735414026,,,0.155722595,
"River, Lake and Ocean",8178.2036671999995,11.55684799,113.87254109999998,14.51101869,4028.6026509999997,0.8510458740000001,,1737.814521,10.32337052,342.8203346,,1846177.396,1.6921558230000002,17.23523545,1050.849397
Rocky outcrop,163.247468261,,,0.617622894,131.0813256,11.692711599999999,,46.49043066,,47.48643823,,7.393878808999999,12166.98863,3.911312115,
Urban Infrastructure,0.077558881,0.0,117.408022,,0.465950793,15.12469881,,0.232713715,0.0,0.0,,0.0,,102787.7577,0.076024176
Wetland,1411.2227252199998,,3.2110802119999997,19.76959373,4033.310576,,0.0,738.9610667000001,0.0,13.903226199999999,,217.60850630000002,,34.70266538,241685.6238
