,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6465173.45203,0.0,6.34630918,3480.29556177,122806.49631,0.460970831,0.0,7079.31385299,0.381006561,1983.769256215,0.07813941,1127.369966,106.20747050000001,215.040996929,435.54889780400003
Aquaculture,0.0,21.18728243,,,,,,,,,,0.0,,0.0,
Beach and Dune,0.45207655,,95486.3053,0.0,13.21000964,,,0.0,8.334684332,284.5027099,,2.196621185,,2.169354565,0.0
Forest Plantation,271.21368233,,0.0,327904.168,25.77909546,14.74478838,,187.8263343,,0.384192645,,0.07776387900000001,0.0,0.077569263,0.153728644
Grassland,217247.36051499998,0.0,37.28446198,1843.478546,7224974.5139999995,0.542071552,,29490.53351,0.0,1500.3732189999998,,936.4102159,41.02044215,102.22137120000001,664.6874788
Mining,0.764417615,,,0.0,0.229318469,646.9270763,,0.0,,1.081528137,,0.0,0.384859448,0.23159519,
Mosaic of Agriculture and Pasture,0.0,,,0.0,,,36.5349778,0.0,,0.0,0.0,0.0,,0.0,
Natural Forest,13451.80014458,,0.0,7142.2551730000005,7453.2232810000005,1.767428784,0.0,2459985.356,0.154051025,81.49266825,0.0,664.8251565,0.0,59.35949417,151.66003569999998
Non Observed,0.224045966,,4.779375568,,0.23013850100000002,,,0.076513654,54.44391656,6.605841057999999,,5.572201092999999,,0.0,0.0
Other Non Vegetated Area,1827.92175862,,170.34164130000002,1.53714765,1237.042838,0.230433368,0.0,70.04879195,10.80220408,152545.0142,,120.41845500000001,84.54395334,97.8476519,9.674132532
Pasture,0.0,,,0.0,,,0.0,0.0,,,7.2210919979999995,,,0.0,
"River, Lake and Ocean",2112.9096059999997,0.0,16.03561008,0.536259003,1126.1162869999998,0.464325043,,523.5679024,0.451423285,285.76955899999996,,1863519.2780000002,0.0,0.304375024,437.70037740000004
Rocky outcrop,1.7708218569999998,,,0.0,3.879050659,0.230909802,,0.076972485,,13.85657762,,0.076953778,12528.57904,0.0,
Urban Infrastructure,0.0,0.0,5.489990149,,0.535958832,0.45978283700000006,,0.155529303,0.0,0.076291669,,0.0,,106054.8269,0.07602307700000001
Wetland,761.192003,,0.0,1.070790112,1027.964557,,0.0,264.0365384,0.301826642,9.760494891,,134.2336263,,0.381169916,253399.2427
