,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6309239.94702,0.38521447799999997,0.0,3770.2174431000003,85083.252024,0.0,0.0,6985.8658936599995,0.15322558,613.5932255999999,0.0,3337.9008541209996,2.241409851,107.38270872000001,826.8521364
Aquaculture,0.0,9.861847455,,,,,,,,,,0.0,,0.0,
Beach and Dune,2.198395715,,96522.93105,0.0,13.74567277,,,0.0,7.885934967000001,386.62413819999995,,10.81916308,,3.886949615,0.0
Forest Plantation,182.68651671199999,,0.0,273104.8513,26.78939581,7.672619812000001,,197.6922341,,0.38595753200000005,,0.07760971700000001,0.0,0.6881210999999999,0.380996124
Grassland,241922.242998,0.0,45.09619193,10683.26074,7456323.885,0.38558042600000003,,36553.767289999996,0.228108423,826.3344907000001,,1975.7586989999998,5.356012604,126.60444299999999,2020.387216
Mining,0.152883826,,,0.0,0.535106934,656.8818531000001,,0.305747058,,2.751882642,,0.232685767,2.378255237,5.582312299,
Mosaic of Agriculture and Pasture,0.077853125,,,0.0,,,41.07789561,0.0,,0.0,0.0,0.0,,0.0,
Natural Forest,10045.962283751,,0.0,12306.17555,10261.20022,0.46217257100000003,0.157075385,2422752.556,0.076513654,15.34730127,0.0,271.3353617,0.07706644900000001,31.09446778,28.9645331
Non Observed,0.224055157,,5.328008105,,0.0,,,0.0,54.76296924,8.239844623,,3.646706378,,0.0,0.149382373
Other Non Vegetated Area,3314.3458629799998,,94.87511888,7.14169845,1692.293521,0.152900507,0.0,201.07845580000003,7.044222528,162360.7454,,242.09279980000002,50.46948769,106.71126609999999,3.56316391
Pasture,0.0,,,0.0,,,0.0,0.0,,,7.375804102000001,,,0.0,
"River, Lake and Ocean",1909.047170766,5.85538819,5.486147009,0.0,967.1666591,0.0,,1500.803681,1.473718298,244.41290780000003,,1862261.186,0.69365816,0.077656104,132.694655
Rocky outcrop,8.035730756,,,0.0,18.06450664,0.0,,0.07732663599999999,,28.37845292,,0.84482334,12585.54465,0.0,
Urban Infrastructure,0.155363104,0.847472717,5.002079364,,0.6184964479999999,0.07756843299999999,,0.23310836199999999,0.155597333,0.38773436299999997,,0.0,,104714.4926,0.0
Wetland,222.6205663,,0.0,0.763634137,704.7223765,,0.0,354.43794710000003,0.0,0.392340454,,248.00953309999997,,7.234053186000001,250196.1063
