,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6195746.044,0.0,115.38398319999999,19450.3899629,361797.0232,4.05718808,0.156883148,15837.937177799999,0.15340836800000002,1138.594212266,0.0,5132.1549566,86.50384009,1554.011593,1552.3509789999998
Aquaculture,0.5392999270000001,16.79574774,,,,,,,,,,3.0818056210000004,,0.7704291440000001,
Beach and Dune,112.0698795,,92578.71721,0.99588634,1734.0507469999998,,,17.12983714,14.26963673,1131.73247,,186.5437127,,19.06074529,2.600627808
Forest Plantation,9268.748293,,0.153771082,318665.0042,79.30170808,17.88874955,,342.8180853,,0.30593862899999996,,0.304913776,0.0,29.74769113,0.151749133
Grassland,1498226.1537000001,0.0,557.5628906000001,28397.41072,5809458.982000001,8.090176677999999,,124700.02,1.150895148,2083.162118,,6456.959169,63.54301172,3119.70436,3765.686441
Mining,34.70606906,,,4.412073706,0.383340295,574.6886356000001,,0.076452637,,11.72371119,,1.0826570070000001,6.806373882999999,15.73948182,
Mosaic of Agriculture and Pasture,1.97066983,,,0.0,,,33.85970746,0.31423128100000003,,0.0,0.07780709799999999,0.0,,0.312562122,
Natural Forest,49055.75664,,0.153768097,38720.83208,58891.94108,19.50498867,0.07783464400000001,2338169.982,0.38232205799999996,160.05099199999998,0.0,2250.370697,0.076456537,944.0651888,778.6989872
Non Observed,0.227869006,,11.60155787,,0.302801587,,,0.076538281,33.93502265,14.32558674,,11.46265627,,0.0,0.0
Other Non Vegetated Area,12138.604319999999,,2472.244897,117.2666871,19358.006019999997,7.854052515,0.0,1093.789417,22.25948073,118249.3383,,978.0899254000001,328.86785489999994,1396.654657,12.44754427
Pasture,1.253547907,,,0.0,,,0.0,0.077846759,,,5.811877692,,,0.077819641,
"River, Lake and Ocean",7936.628452,0.30818573,128.6027405,10.95230939,3643.446419,3.411261713,,1236.588039,11.58265347,332.3408672,,1853187.767,1.455984357,7.606832422,1522.442982
Rocky outcrop,165.969754187,,,0.540837817,106.9440862,42.70972409,,30.70270295,,45.20559574,,7.39397334,12145.24541,3.7582459289999997,
Urban Infrastructure,0.0,0.0,116.41235900000001,,0.53970799,13.18333322,,0.233129828,0.0,0.306153375,,0.0,,105930.9458,0.0
Wetland,1994.5083840500001,,0.0,15.57402846,3742.43536,,0.0,712.3720106000001,0.0,3.958940955,,228.06851170000002,,22.94636201,248878.3202
