,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6265217.8866,0.154085663,3.3642567810000004,1242.7762703189999,106016.68759409999,1.070146265,0.0,8554.123037837,0.076944635,1510.67705906,0.079005981,1120.667592,3.3054542110000003,122.38970597300002,251.3185385
Aquaculture,0.0,5.238959099999999,,,,,,,,,,0.0,,0.6163428470000001,
Beach and Dune,0.0,,96977.29428,0.0,2.142261414,,,0.0,9.274924218999999,459.7589302,,3.5935900210000002,,2.403327692,0.0
Forest Plantation,334.14233355700003,,0.0,151140.9242,22.98658801,0.618485956,,376.8532796,,0.692140619,,0.0,0.0,0.155554938,0.0
Grassland,155593.543322,0.0,33.24648863,3445.228635,7884119.372,3.252547028,,25974.12898,0.076538495,3148.709088,,1350.088539,23.24917285,71.06286456,601.3570867000001
Mining,0.0,,,0.0,0.0,777.2194375,,0.153953259,,0.463196021,,0.612715173,0.5356804629999999,0.617134106,
Mosaic of Agriculture and Pasture,0.0,,,0.0,,,40.98243159,0.0,,0.0,0.0,0.0,,0.0,
Natural Forest,10917.705517434,,0.0,719.3400498999999,9657.864623000001,0.30807401100000004,0.0,2271487.567,0.07702301,55.65367288,0.0,499.85326330000004,0.0,36.6264105,46.20834579
Non Observed,0.459531213,,4.166993176,,0.0,,,0.0,60.97138795,10.82751005,,1.6665613590000001,,0.155597333,0.077023859
Other Non Vegetated Area,1069.5724421930001,,330.4293518,1.323332751,1028.75393,0.387845276,0.0,14.917793900000001,7.689347626,161822.9525,,76.59295107,41.80515806,203.68760509999998,0.6292866029999999
Pasture,0.0,,,0.0,,,0.0,0.0,,,8.692357721,,,0.0,
"River, Lake and Ocean",2056.653064119,1.3868071780000002,229.40162969999997,0.154821869,1052.1219230000002,0.0,,473.3677117,4.169962183,475.42457199999996,,1865994.342,0.462189301,4.587942871,116.6748307
Rocky outcrop,20.39338401,,,0.07742204,11.96445349,0.076972699,,0.07645177,,53.27829943,,0.07681135900000001,13556.66934,0.0,
Urban Infrastructure,0.310464575,0.0,1.53594845,,0.155558069,0.076459131,,0.0,0.0,0.232824542,,0.0,,98822.45347000001,0.0
Wetland,319.88432389999997,,0.0,0.309453339,1275.357658,,0.0,239.1697168,0.0,5.53349054,,79.58611804,,0.0,240171.9006
