,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,5478452.20146,0.0,354.5921535,37714.788548000004,487157.91812,20.33856785,0.395787854,39515.3463108,0.760358344,1694.23114478,0.628992023,8107.087509,173.4888898,2768.5911969,2568.177510141
Aquaculture,0.46225720200000003,7.550249506,,,,,,,,,,2.927715497,,0.7704291440000001,
Beach and Dune,309.5989662,,89569.06593,252.77645609999996,8051.518365000001,,,313.0826523,20.78778568,3432.163205,,267.2449477,,248.9603864,2.297972314
Forest Plantation,6371.0433739,,0.46187158799999994,143761.1166,312.5445796,53.27478648,,2269.466878,,2.149684882,,0.615090631,0.0,74.27884757,22.02249658
Grassland,2215423.8162000002,0.0,1790.7525679999999,194922.1025,5665786.357000001,31.72254866,,213079.2727,0.997844775,2141.426773,,13864.810930000001,80.41964615,6692.588943,1429.580566
Mining,18.40496916,,,2.55977218,0.30580404699999997,649.212455,,1.7749259030000002,,5.259005487,,10.78200095,44.65124470000001,41.60052379,
Mosaic of Agriculture and Pasture,2.992062884,,,0.077875897,,,35.36939293,0.7103101559999999,,0.0,0.0,0.0,,0.551716663,
Natural Forest,59237.917819999995,,3.7076332030000003,31478.191619999998,67671.04827999999,26.65193397,0.07783464400000001,2200068.156,0.30542431600000003,204.44086409999997,0.0,2725.651258,4.235408606,3075.0704809999997,948.5922855
Non Observed,0.076687299,,17.99322135,,0.458078821,,,0.076538495,32.28293859,15.65159868,,8.607646326000001,,0.0,0.077070892
Other Non Vegetated Area,12518.211255,,4319.597592,1725.3258329999999,20745.05146,1.151256592,0.156110162,3844.300766,6.5537659,111144.9061,,666.6803014999999,190.4051419,4737.093427000001,45.0985141
Pasture,1.8050202510000002,,,0.0,,,0.155704187,0.077873438,,,6.962950792999999,,,0.311647644,
"River, Lake and Ocean",15053.0514977,8.629180182,764.6260503999999,67.32780446,9335.219067,1.0849466859999999,,2726.070451,21.4384821,1011.4942710000001,,1850887.106,3.538878876,85.6763225,4475.016593
Rocky outcrop,153.802573225,,,1.771960559,84.92389838,1.152510352,,60.75686385,,46.68493469,,9.394969879,10997.51276,3.145290503,
Urban Infrastructure,0.077558881,0.0,89.46102913,,0.232685773,3.718713904,,0.310036682,0.0,0.077865845,,0.0,,91867.50046,0.0
Wetland,1841.0358545299998,,11.63023116,27.24627846,4319.1258689999995,,0.0,481.52255650000006,0.0,12.484266,,295.8116212,,51.60073923,241432.7948
