,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6286712.952,0.0,30.11864595,4862.6503727,112167.94925,0.0,0.0,8829.18975693,0.149369263,784.1272123550001,0.0,2255.054986382,45.46722559,176.64821878200001,661.627004129
Aquaculture,0.0,0.46227457299999997,,,,,,,,,,0.0,,0.0,
Beach and Dune,15.78446098,,97866.77421,0.0,26.42226257,,,0.0,7.675108185,670.8740562999999,,14.26171009,,2.85841178,0.0
Forest Plantation,625.838991519,,0.0,237359.2684,106.0727705,3.802863049,,194.74378059999998,,0.38427398700000004,,0.155179407,0.0,0.077892297,0.378963647
Grassland,140843.470044,0.0,52.0347355,3868.534562,7628849.958,0.077580676,,26263.11199,0.14937868699999998,3360.4186340000006,,1485.543811,62.68928862,137.1608124,941.9246586000002
Mining,0.308034174,,,0.0,0.07644939,692.1701641,,0.5350733520000001,,0.616100854,,0.232679749,1.2278829709999999,3.09913269,
Mosaic of Agriculture and Pasture,0.077883685,,,0.0,,,43.32113403,0.077874463,,0.0,0.0,0.0,,0.07792874799999999,
Natural Forest,10813.019697400001,,0.0,4858.589877,6857.746971,0.077610754,0.077911963,2409380.171,0.0,46.98563156,0.0,491.61720149999996,0.307986115,62.27377535,248.92168930000003
Non Observed,0.0,,2.639143744,,0.15351906099999998,,,0.0,52.00435507,9.547848273,,4.686637994,,0.23339661899999997,0.0
Other Non Vegetated Area,2195.260195128,,152.96419430000003,2.781709082,3805.848036,0.077613654,0.0,117.3781824,9.806441327,166543.3032,,389.6858055,28.00040491,176.8562995,8.689467792
Pasture,0.0,,,0.0,,,0.0,0.0,,,7.537377234,,,0.0,
"River, Lake and Ocean",1148.2793040620002,2.619564099,3.0624384769999997,0.0,356.1184887,0.1540547,,322.7886326,2.188183038,132.25213109999999,,1859666.6530000002,0.53936792,0.233455847,50.84010676
Rocky outcrop,22.10972368,,,0.0,24.18976724,0.0,,0.07706644900000001,,85.47128403,,0.154764246,12446.90721,0.0,
Urban Infrastructure,0.078586658,0.0,1.5473812619999998,,0.307933215,0.309158313,,0.077450012,0.0,0.077867487,,0.0,,102918.6667,0.077548077
Wetland,303.1918956,,0.0,0.7659147890000001,596.4928817000001,,0.077854767,91.31513897,0.0,6.214113293,,87.56817532,,0.836688165,247071.8506
