,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6942288.1419,0.0,5.00679726,2477.776860715,204566.00854,0.07760950900000001,0.078992694,9959.24677207,0.306635522,805.067982506,0.0,3469.9548801530004,34.67090702,643.5276795,664.1378893939999
Aquaculture,0.0,11.01755718,,,,,,,,,,0.0,,0.0,
Beach and Dune,4.7673418519999995,,92699.43115,0.230495618,184.9916977,,,0.0,14.389899800000002,392.30952189999994,,13.24120244,,6.75512583,0.0
Forest Plantation,10056.126289,,0.0,428950.9553,16.55704088,0.07643378299999999,,42.42988792,,0.153049719,,0.22714989600000002,0.0,7.910203082000001,0.151217267
Grassland,774955.7111,0.0,113.58386429999999,598.7008911,5888811.034,0.775971417,,43896.62267,0.92067403,2863.7933780000003,,1845.241716,150.0672628,773.7788807999999,2158.350303
Mining,16.83630294,,,13.50409843,5.026606323,677.0374234,,0.310399255,,8.801734485,,0.620641046,10.779327699999998,30.24909889,
Mosaic of Agriculture and Pasture,2.359250452,,,0.0,,,39.03701058,0.0,,0.0,0.0,0.0,,0.077920154,
Natural Forest,28849.755663,,0.0,7686.924617000001,47400.7994,0.308529633,0.07783464400000001,2531109.785,0.22880364399999997,190.9585983,0.0,1542.027193,0.384238275,228.1430795,576.0253445000001
Non Observed,0.379572748,,8.992738568,,0.533625232,,,0.076538708,41.21588573,13.80007704,,7.588211304,,0.0,0.0
Other Non Vegetated Area,2930.5971396,,601.9540794,6.2721096560000005,5312.564222999999,3.100922961,0.0,200.45156599999999,16.77031801,89076.25247,,291.8471189,1.927190033,446.8649705,2.238259955
Pasture,0.23363076800000002,,,0.0,,,0.0,0.0,,,9.477660828,,,0.0,
"River, Lake and Ocean",7328.34294936,0.385222314,147.6562854,2.379924304,2305.2429469999997,4.21493197,,1033.2115800000001,9.213553302000001,613.8572512999999,,1861466.572,0.38491043700000005,0.23403084100000002,464.3375914
Rocky outcrop,59.323132508,,,0.38626936,35.10803116,77.81235297,,0.6903359859999999,,26.32708406,,3.550305157,12190.65334,3.52669259,
Urban Infrastructure,0.156938794,0.0,46.23269331,,0.38298252,14.58059341,,0.233141412,0.151904346,0.15453028,,0.23138709100000002,,113879.0644,0.0
Wetland,1906.95420578,,0.0,6.562940032999999,3919.8921549999995,,0.0,518.0479629,0.0,4.991554346,,352.7647242,,2.2117692630000003,254366.4752
