,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6161053.707319999,0.0,0.30056110199999997,2791.7695962099997,122773.254859,4.280511298,0.0,9093.75464938,0.381120819,1653.0590686399999,0.0,2697.868512651,2.079418262,81.042021106,1091.1529031809998
Aquaculture,0.0,12.17300516,,,,,,,,,,0.0,,0.0,
Beach and Dune,0.692950134,,99475.65534,0.0,11.40307637,,,0.0,4.035792609,262.8916842,,27.85187955,,2.40150506,0.0
Forest Plantation,277.96009359000004,,0.0,175162.1416,14.64148041,0.154051782,,181.0568875,,0.838723578,,0.153046417,0.0,4.732074231,0.0
Grassland,83532.960425,0.0,19.5235812,4544.538079999999,7944321.619,0.077578601,,53425.43312,0.074691187,2220.0098199999998,,4516.201585,1.312493231,112.1255371,2305.546319
Mining,0.0,,,0.0,0.0,757.8038122,,0.07697227200000001,,0.613785687,,0.0,0.766107935,0.384584387,
Mosaic of Agriculture and Pasture,0.078860791,,,0.0,,,43.01980215,0.0,,0.0,0.0,0.0,,0.0,
Natural Forest,7540.543305391,,0.0,3073.713251,4358.031406,0.309284296,0.0,2311345.835,0.0,26.93929479,0.0,1036.869818,0.076564825,19.89208376,65.91262274
Non Observed,0.225793512,,14.97931064,,0.22832050199999998,,,0.153561719,42.50577339,20.30860582,,3.643824457,,0.155597333,0.0
Other Non Vegetated Area,1565.25198362,,183.3664337,19.962769899999998,1740.5428559999998,0.0,0.0,92.18008988,9.817927727999999,169190.0925,,706.3259577,6.271527032000001,158.1232631,0.7770642090000001
Pasture,0.0,,,0.0,,,0.0,0.0,,,7.447809076,,,0.0,
"River, Lake and Ocean",960.166697192,0.0,109.2512997,0.0,311.6669958,0.077579639,,1226.123302,11.98443397,322.5604439,,1857072.054,0.0,3.886954926,61.57633338
Rocky outcrop,33.2912419,,,0.0,68.30704890000001,0.0,,0.23014881,,188.4771961,,0.616167975,12695.61244,0.0,
Urban Infrastructure,0.0,0.0,2.233894196,,0.619834308,0.076434216,,0.07777767299999999,0.0,0.310293463,,0.0,,101430.0053,0.0
Wetland,591.4093121000001,,0.0,0.152234216,379.5882313,,0.0,255.04379730000002,0.0,0.462941986,,88.62182361,,0.076002618,242111.3586
