,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6542018.506719999,0.0,3.680289355,6171.870285403999,126183.82202200001,0.23158299,0.0,4864.24661786,0.07469049700000001,1186.795710715,0.0,1520.74166623,12.24011171,161.913181926,302.80213219999996
Aquaculture,0.0,19.723424899999998,,,,,,,,,,1.309769336,,0.0,
Beach and Dune,0.383266461,,95287.70963,0.076817987,11.74907871,,,0.0,5.888276801,204.9205565,,1.293992938,,1.69905177,0.0
Forest Plantation,281.24708519,,0.0,368096.2209,150.0642602,4.731850922,,358.3150835,,0.153476508,,0.0,0.0,0.155139355,0.611370416
Grassland,217278.125521,0.0,25.00538647,2193.499936,7097153.193,5.581274817000001,,17559.66058,0.0,783.7527072,,2100.376343,22.91388818,128.8609275,206.7982816
Mining,0.306918823,,,0.0,0.077580261,673.1401032000001,,0.0,,0.07644050299999999,,0.23270799600000003,0.307349615,0.38229826,
Mosaic of Agriculture and Pasture,0.234309705,,,0.0,,,38.82793159,0.079198462,,0.0,0.0,0.0,,0.0,
Natural Forest,14305.5316142,,0.0,6141.349979,11616.48727,0.618494244,0.079464685,2480945.127,0.0,74.46015814,0.0,935.7045447,2.863131482,66.46399306,150.0924199
Non Observed,0.076505005,,4.183483203,,0.376517139,,,0.0,56.35506816,7.933435022,,5.946361536,,0.0,0.0
Other Non Vegetated Area,2187.86729349,,141.2543757,1.530676282,6012.051117,0.536218207,0.0,112.443863,9.145431647,148431.485,,321.7715997,134.6774828,71.42054933,0.76034021
Pasture,0.0,,,0.0,,,0.077860309,0.0,,,7.295647455,,,0.0,
"River, Lake and Ocean",1530.416220772,0.0,38.18231301,0.0,978.908599,0.0,,310.5334028,2.737469843,204.9117456,,1857350.91,0.0,0.929344543,310.12866360000004
Rocky outcrop,17.802549,,,0.07673172,12.77872617,0.461840222,,0.07737459099999999,,12.97280529,,0.6917202509999999,13485.84716,0.0,
Urban Infrastructure,0.38866941,0.0,3.770777075,,0.6250349239999999,0.305813562,,0.0,0.0,0.231842548,,0.0,,107632.5949,0.076024176
Wetland,283.574578,,0.0,0.7621379209999999,1784.9568,,0.0,192.4203783,0.0,0.9906901859999999,,45.71686592,,0.761901886,250663.8797
