,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,5759603.241346045,0.0,1.5267202880000001,332.3026298,275047.71246094996,0.536212592,0.474841058,15264.04811,0.828405072,1306.9008039999999,0.31131993399999996,3260.479482,27.9836156,44.69281503,3637.5086929999998
Aquaculture,0.0,11.71065135,,,,,,,,,,0.0,,0.0,
Beach and Dune,2.1934099,,101452.9802,0.0,8.834901392,,,0.0,3.030015265,983.4599763,,14.28915303,,2.709056995,0.0
Forest Plantation,519.2074685050001,,0.0,152045.4901,44.98831356,0.15291090699999998,,255.44861150000003,,0.23026795,,0.232319818,0.0,0.544248236,0.680017065
Grassland,208775.787955,0.0,10.20180236,269.90195589999996,8077046.097,0.0,,24082.5561,0.452397083,1146.8866859999998,,2416.714718,4.968061047,69.04958553,1421.2322900000001
Mining,0.077577979,,,0.0,0.076455017,772.8559753999999,,0.0,,0.541801721,,0.23269948699999998,0.688626898,0.07756469099999999,
Mosaic of Agriculture and Pasture,0.312621356,,,0.0,,,39.31083771,0.077899469,,0.0,0.0,0.0,,0.0,
Natural Forest,11766.3081946,,0.0,1394.7650820000001,19341.46075,0.077561993,0.0,2331828.452,0.0,47.98632454,0.0,817.6669498,0.154031805,73.12116038,174.0544122
Non Observed,0.15183286099999999,,6.065965203999999,,0.22846246899999997,,,0.23014874899999999,60.89642075,6.663776337000001,,0.9871740840000001,,0.0,0.0
Other Non Vegetated Area,2271.44639532,,64.56770864,0.077135382,3564.529046,0.0,0.0,22.34677703,2.7243106630000002,153234.1229,,258.0938286,30.67276187,495.32316050000003,0.627480365
Pasture,0.0,,,0.0,,,0.0,0.0,,,9.313196312999999,,,0.0,
"River, Lake and Ocean",2714.5043972830003,0.0,7.553796533,0.0,1375.1564779999999,0.0,,2224.0803370000003,6.191265997,146.43115980000002,,1876271.322,0.38456137700000004,0.932901697,1693.7224469999999
Rocky outcrop,31.23015801,,,0.0,62.42037503,0.15342346199999998,,0.0,,99.3006975,,0.459143146,11165.581970000001,0.0,
Urban Infrastructure,0.153937885,0.0,0.619429584,,1.081376508,0.0,,0.155542987,0.0,0.07698353299999999,,0.0,,91959.21506,0.076024176
Wetland,255.39237459999998,,0.0,0.0,690.5698583999999,,0.0,371.7753353,0.0,0.539086969,,43.18463286,,0.0,247111.7909
