,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,7428944.97404241,0.0,0.15371242699999998,122.81383079999999,5212.78879148,0.0,0.0,1189.502861531,0.076456537,270.8402273,0.0,658.985769794,1.3135749209999998,14.717632936,171.742271
Aquaculture,0.0,12.94368145,,,,,,,,,,0.0,,0.0,
Beach and Dune,0.151306805,,94901.50008,0.0,22.55744949,,,0.0,2.653513416,152.6719998,,0.689025885,,2.932381152,0.0
Forest Plantation,3800.4019427,,0.0,452867.8034,10.62469783,0.0,,21.14727656,,0.385853705,,0.07760971700000001,0.0,0.0,0.22872005
Grassland,312360.20958799997,0.0,13.16571696,84.704642,6175315.716,0.0,,24914.53731,1.3039723570000001,2614.020325,,1241.093208,120.25079009999999,16.54457421,2350.242633
Mining,5.038882581,,,7.528282605,0.155153467,818.6789089,,0.0,,0.38457775299999997,,0.31028201899999996,0.6911862240000001,12.0212051,
Mosaic of Agriculture and Pasture,0.077802783,,,0.0,,,33.94910308,0.0,,0.0,0.0,0.0,,0.0,
Natural Forest,11258.17519386,,0.0,2458.762199,14156.609840000001,0.0,0.0,2521674.72,0.076174866,115.74629909999999,0.0,897.3624191,0.07703170200000001,2.639045068,401.45319539999997
Non Observed,0.46046025399999996,,7.398686707,,0.228574207,,,0.15307785599999998,62.56853244,6.600782232999999,,1.060171381,,0.0,0.0
Other Non Vegetated Area,1041.58046999,,143.30458169999997,0.15426052199999998,2691.604678,0.0,0.0,39.47242513,7.78903797,79989.0173,,209.46559419999997,1.0035928159999998,23.41561005,0.5459178960000001
Pasture,0.0,,,0.0,,,0.0,0.0,,,6.5795383,,,0.0,
"River, Lake and Ocean",2437.021513182,0.154087146,42.7066456,0.0,690.6334132000001,0.0,,423.0103801,8.880473523,151.8946659,,1862658.076,0.076975458,0.0,116.45967649999999
Rocky outcrop,55.778267845,,,0.38626936,26.31614628,0.0,,0.231347565,,33.03975801,,0.23084749100000002,12370.368690000001,0.0,
Urban Infrastructure,0.156868872,0.0,8.27740354,,0.622633777,0.0,,0.232983496,0.0,0.381734265,,0.076288837,,118386.6196,0.0
Wetland,503.90767929299994,,0.0,4.264834039,982.9155489,,0.0,267.6590007,0.0,0.306116907,,122.9506426,,0.304007922,248852.7342
