,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,5879152.5853,0.0,4.874467999,25223.079304,471947.86232,22.936073728,0.0,38478.100134,0.227709155,2649.3986194999998,0.077707782,5150.367141680001,21.07022194,340.07013898,1547.484743185
Aquaculture,0.0,11.94187212,,,,,,,,,,0.077043573,,0.0,
Beach and Dune,161.5895079,,93739.00306,3.67096875,447.2500141,,,0.076835291,6.984202582000001,4487.36683,,185.90652419999998,,34.64036789,0.0
Forest Plantation,1329.94333519,,3.23705376,156669.9892,122.2078455,24.69028611,,598.0872279,,2.067453485,,0.23139494600000002,0.0,9.144292419,0.302403937
Grassland,677128.4788,0.0,1249.0118109999999,83401.65924,7076880.421,12.19052544,,141568.5828,0.15360022,5260.566411,,5682.161862,21.29692814,858.1312,5958.351007
Mining,0.612062927,,,0.459851135,1.146664771,648.7167697000001,,0.0,,29.79031019,,2.867417737,62.88957667,22.86255837,
Mosaic of Agriculture and Pasture,0.31600968,,,0.0778966,,,44.66558758,0.155814502,,0.0,0.079180841,0.0,,0.0,
Natural Forest,21605.177554299997,,0.382653931,23896.72511,42930.74559,5.115286792,0.079198462,2236022.3430000003,0.076538281,105.9450751,0.0,1041.216999,0.384850287,400.0983637,346.4494664
Non Observed,0.151627081,,19.51078184,,0.383124622,,,0.30780762899999997,33.95703363,21.52252841,,6.580214429,,0.0,0.0
Other Non Vegetated Area,7206.648938300001,,1719.9218629999998,216.33613019999996,5818.930401,0.38225711700000004,0.0,1751.692064,15.04302279,150031.7643,,893.9041237,173.0868241,576.1016688999999,3.425432971
Pasture,0.234831751,,,0.0,,,0.077921381,0.0,,,8.769073065,,,0.0,
"River, Lake and Ocean",4337.248039832,1.540923157,83.86665745,0.775026263,1988.2244649999998,1.0794913640000001,,1691.0922289999999,15.3408777,757.4599883,,1853211.7280000001,1.456989294,15.21373932,972.8941999
Rocky outcrop,130.917238,,,0.154491187,93.27899416,0.076447656,,1.7684006840000002,,241.07782999999998,,1.233292773,13249.20734,0.0,
Urban Infrastructure,0.077804224,0.7704291440000001,18.49719772,,0.622149695,0.152890967,,0.388329254,0.155597333,0.386857587,,0.0,,100418.085,0.0
Wetland,445.367249474,,0.535227136,1.5348973330000002,1502.071689,,0.0,423.92965269999996,0.0,21.46168574,,150.80156159999999,,16.8169379,235777.0526
