,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6977287.3248499995,0.0,0.8392589290000001,2136.016803,174914.650279,0.154051312,0.078995624,5527.156259200001,0.5383491460000001,960.256551746,0.0,3022.892841098,25.34118889,206.66142710000003,832.091447527
Aquaculture,0.0,11.01755718,,,,,,,,,,0.0,,0.0,
Beach and Dune,3.5808706910000003,,93152.76479,0.230495618,28.75911005,,,0.0,10.03262725,104.7792055,,12.64450263,,3.3248380980000003,0.0
Forest Plantation,2315.8582442,,0.0,436554.3111,37.35688681,0.077572791,,165.60138659999998,,0.076837,,0.22714989600000002,0.0,0.7761027709999999,0.301274896
Grassland,153413.190127,0.0,21.80101086,321.7783214,6552629.927,0.543216962,,7642.2756930000005,0.076746509,1238.744191,,325.7872383,42.26738918,125.36632420000001,406.822535
Mining,0.687984259,,,0.0,0.536238477,759.7930081000001,,0.0,,0.998257855,,0.0,0.535130542,0.615013293,
Mosaic of Agriculture and Pasture,0.546461176,,,0.0,,,40.84979986,0.0,,0.0,0.0,0.0,,0.077920154,
Natural Forest,10045.62360021,,0.0,2448.330082,9498.28323,0.46243579100000004,0.0,2595129.59,0.076539362,22.50089017,0.0,321.4581249,0.0,14.74869263,104.345061
Non Observed,0.15143587,,3.641317487,,0.230151965,,,0.0,49.30651995,5.154104785,,14.10311927,,0.0,0.0
Other Non Vegetated Area,1122.43488876,,175.5018522,8.602558716,2670.797711,2.716472076,0.0,66.06894077,15.61661006,94715.04115,,58.96622578,2.163428894,52.30546177,0.625075885
Pasture,0.0,,,0.0,,,0.0,0.0,,,9.711291595,,,0.0,
"River, Lake and Ocean",3299.1634067590003,0.0,1.8965299130000002,2.379881775,796.0152845,0.775191107,,618.6801716,0.455200635,207.6050876,,1868309.0680000002,0.38443527200000005,0.076064618,139.5342529
Rocky outcrop,2.463183911,,,0.0,23.53460372,79.04820044,,0.0,,3.001906812,,0.153205615,12289.17645,0.0,
Urban Infrastructure,0.077873438,0.0,9.187968951,,0.23091014399999998,3.877531653,,0.233192657,0.151904346,0.078320868,,0.233214655,,113927.0399,0.077681335
Wetland,392.44622685900003,,0.0,0.8422590879999999,2139.997331,,0.0,59.11503266,0.0,0.074800177,,91.09514762,,0.229695245,258394.1
