,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,5337802.494479999,0.0,240.4804371,19803.350732299998,643757.47308,57.10435313,0.7897211,42112.618325899995,0.7573679259999999,4667.49941673,0.23461085199999998,6186.993264989999,194.059782,864.9829596,2839.708017364
Aquaculture,0.0,11.71065135,,,,,,,,,,0.0,,0.0,
Beach and Dune,499.40041900000006,,90677.31229,38.03663174,2386.561713,,,8.856751427999999,17.45571286,8442.476397,,176.964796,,219.5165321,0.91542417
Forest Plantation,1820.0179594,,0.615495184,146680.61800000002,557.3663432999999,36.17269561,,3730.31426,,1.5403466190000001,,0.388144916,0.0,27.95971263,11.98129948
Grassland,1199650.4758000001,0.0,1616.4926269999999,113891.2676,6802092.603999999,23.92760231,,179259.0752,0.15160341800000002,5265.154382,,8889.214655,62.88336605,2325.986556,2166.615928
Mining,2.997455457,,,0.0,0.5374538879999999,609.8488667,,0.23156986699999998,,33.32499635,,1.627923108,86.16539949,39.81703632,
Mosaic of Agriculture and Pasture,1.491615485,,,0.155775366,,,37.34274838,0.395282336,,0.0,0.0,0.0,,0.315936969,
Natural Forest,32191.593028000003,,3.633869916,16792.91244,70935.61278,5.653411566,0.472629956,2241770.15,0.0,241.1467477,0.0,1668.344507,4.1580045960000005,1283.773423,546.5963682999999
Non Observed,0.15307785599999998,,15.03935112,,0.38153945899999997,,,0.077070892,27.84832258,24.33112448,,7.393294061000001,,0.0,0.0
Other Non Vegetated Area,5444.0025833,,2879.581977,369.1198604,9158.868184,0.997128638,0.078053656,1891.415838,5.218560724,136848.7443,,419.0122482,152.51106969999998,2756.107048,18.87461661
Pasture,0.786273034,,,0.0,,,0.077841217,0.0,,,8.449082062,,,0.0,
"River, Lake and Ocean",8517.14730386,2.311382178,842.5360860999999,16.05355229,9355.203222,0.8535093570000001,,2717.189017,19.89364545,1966.0189149999999,,1859254.074,4.38502016,48.20336367,1696.4108489999999
Rocky outcrop,83.44860816,,,0.540262885,74.17635477,0.764457477,,5.206778217,,262.6476645,,4.227588696000001,10928.13405,0.0,
Urban Infrastructure,0.155363104,0.0,21.00047033,,0.541955646,0.308025964,,0.232321057,0.0,0.077865845,,0.0,,91939.06235,0.0
Wetland,1334.5508577239998,,4.6459190669999995,1.232374774,4311.858520000001,,0.0,407.1335477,0.0,20.40785975,,454.01058489999997,,11.10726365,241928.3052
