,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Urban Infrastructure,Wetland
Agriculture,6443153.188399999,0.0,8.099384949,6302.7586102,290797.45026,0.383390546,0.156883148,14850.517443400002,0.0,881.37489744,0.0,5509.0999526,20.09793543,1227.6157935,892.859555977
Aquaculture,0.5392999270000001,12.40415753,,,,,,,,,,0.6934074159999999,,0.7704291440000001,
Beach and Dune,72.66055159,,93077.80043999999,0.306971423,988.9271987,,,1.148710114,11.32966479,864.3716956000001,,231.39736409999998,,13.17473062,0.22946830399999998
Forest Plantation,10767.791596,,0.076884155,392603.9879,192.4598719,5.823433532999999,,555.179947,,0.38169527600000003,,0.22714989600000002,0.0,22.20146035,0.6816240170000001
Grassland,1255795.7702,0.0,223.7667727,6179.079272,5899101.395,14.98429789,,93868.52446,1.378657104,2448.249006,,6968.510531,24.079583399999997,2211.084633,5847.659191
Mining,28.86132828,,,13.18555734,1.152281586,620.0590672000001,,0.30925213,,9.414240234,,1.240105286,9.634799719,31.03669265,
Mosaic of Agriculture and Pasture,2.519640893,,,0.0,,,36.32407248,0.078106732,,0.0,0.156981055,0.0,,0.312558221,
Natural Forest,35135.160151000004,,0.0,19910.85516,52704.62281,7.9126403629999995,0.07783464400000001,2377278.034,0.22880364399999997,144.9482162,0.0,2109.552766,0.152913721,513.1193356000001,727.9413304999999
Non Observed,0.153430701,,14.75381909,,0.227768353,,,0.0,36.79219803,14.47535854,,7.338949628,,0.0,0.305518658
Other Non Vegetated Area,8862.474009,,2090.678896,35.46906441,12623.30065,3.487007709,0.0,459.3852115,17.30224211,109014.9109,,863.0062775,12.21925331,925.3387375,1.820958331
Pasture,0.629240076,,,0.0,,,0.0,0.0,,,5.797136707000001,,,0.0,
"River, Lake and Ocean",7996.2430915,2.542509705,17.18842564,9.03925224,3220.680975,2.986781616,,1850.5688100000002,16.55021708,302.5310237,,1846623.679,1.457877216,4.205673003999999,652.6909149
Rocky outcrop,155.09269797999997,,,0.463420789,104.1141355,50.25413220000001,,24.34292627,,50.81709456,,6.779819147,13835.16229,3.6815335210000004,
Urban Infrastructure,0.0,0.0,102.2454994,,0.774089648,13.49144079,,0.621745355,0.0,0.309229028,,0.0,,109182.1115,0.0
Wetland,1129.4994811899999,,0.0,11.40890067,2384.687594,,0.0,487.8991143,0.0,5.214575928,,459.11573250000004,,10.22528475,242891.9173
