,Year,Quantity,Exchange,Shift
0,1985 to 1990,218373,187993.0,109459.0
1,1990 to 1995,200911,255471.0,144678.0
2,1995 to 2000,241716,231413.0,136124.0
3,2000 to 2005,115525,229801.0,141180.0
4,2005 to 2010,94112,230530.0,121337.0
5,2010 to 2015,34253,270852.0,158957.0
