,Year,Quantity,Exchange,Shift
0,1985 to 1990,13350,278761.0,146606.0
1,1990 to 1995,47600,286130.0,149459.0
2,1995 to 2000,79413,240864.0,129029.0
3,2000 to 2005,75828,284520.0,148041.0
4,2005 to 2010,80713,223862.0,126504.0
5,2010 to 2015,124612,191087.0,109907.0
