,Year,Quantity,Exchange,Shift
0,1985 to 1990,1050013,1205562.0,691921.0
1,1990 to 1995,1626622,1045193.0,552592.0
2,1995 to 2000,1806204,993697.0,569589.0
3,2000 to 2005,2143864,1072222.0,693334.0
4,2005 to 2010,1018677,1094236.0,690823.0
5,2010 to 2015,513399,1394758.0,1071594.0
