,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
79,1990 to 1991,Pasture,1137961.0,1137961.0,0.0,770107.0,2933.0
80,1990 to 1991,"River, Lake and Ocean",100111.0,0.0,100111.0,157975.0,98.0
81,1990 to 1991,Salt flat,541.0,541.0,0.0,279.0,0.0
82,1990 to 1991,Urban Infrastructure,3297.0,3297.0,0.0,5.0,1.0
83,1990 to 1991,Wetland,0.0,0.0,0.0,0.0,0.0
84,1991 to 1992,Agriculture,196.0,0.0,196.0,10685.0,2245.0
85,1991 to 1992,Beach and Dune,54.0,54.0,0.0,17.0,2.0
86,1991 to 1992,Forest Plantation,2847.0,0.0,2847.0,3466.0,3.0
87,1991 to 1992,Grassland,185878.0,0.0,185878.0,335317.0,54436.0
88,1991 to 1992,Mining,47.0,47.0,0.0,4.0,2.0
89,1991 to 1992,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
90,1991 to 1992,Natural Forest,1032080.0,0.0,1032080.0,1181217.0,252720.0
91,1991 to 1992,Non Observed,0.0,0.0,0.0,146.0,31.0
92,1991 to 1992,Other Non Vegetated Area,1105.0,0.0,1105.0,30.0,0.0
93,1991 to 1992,Pasture,1247841.0,1247841.0,0.0,890846.0,54723.0
94,1991 to 1992,"River, Lake and Ocean",28610.0,0.0,28610.0,212540.0,30756.0
95,1991 to 1992,Salt flat,544.0,0.0,544.0,460.0,2.0
96,1991 to 1992,Urban Infrastructure,3317.0,3317.0,0.0,6.0,-0.0
97,1991 to 1992,Wetland,0.0,0.0,0.0,0.0,-0.0
98,1992 to 1993,Agriculture,28244.0,28244.0,0.0,12756.0,83.0
99,1992 to 1993,Beach and Dune,270.0,270.0,0.0,27.0,5.0
100,1992 to 1993,Forest Plantation,4809.0,0.0,4809.0,2215.0,0.0
101,1992 to 1993,Grassland,114326.0,114326.0,0.0,374790.0,28871.0
102,1992 to 1993,Mining,6.0,6.0,0.0,4.0,7.0
103,1992 to 1993,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
104,1992 to 1993,Natural Forest,1686618.0,0.0,1686618.0,996994.0,1297.0
105,1992 to 1993,Non Observed,95.0,0.0,95.0,146.0,22.0
106,1992 to 1993,Other Non Vegetated Area,266.0,266.0,0.0,0.0,0.0
107,1992 to 1993,Pasture,1308772.0,1308772.0,0.0,751139.0,54696.0
108,1992 to 1993,"River, Lake and Ocean",232991.0,232991.0,0.0,156705.0,350.0
109,1992 to 1993,Salt flat,981.0,981.0,0.0,309.0,2.0
110,1992 to 1993,Urban Infrastructure,5666.0,5666.0,0.0,5.0,0.0
111,1992 to 1993,Wetland,0.0,0.0,0.0,0.0,0.0
112,1993 to 1994,Agriculture,17708.0,17708.0,0.0,18741.0,6.0
113,1993 to 1994,Beach and Dune,15.0,15.0,0.0,19.0,3.0
114,1993 to 1994,Forest Plantation,16373.0,16373.0,0.0,14.0,-0.0
115,1993 to 1994,Grassland,132098.0,132098.0,0.0,269996.0,24418.0
116,1993 to 1994,Mining,27.0,27.0,0.0,4.0,2.0
117,1993 to 1994,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
118,1993 to 1994,Natural Forest,1530560.0,0.0,1530560.0,1217097.0,1.0
119,1993 to 1994,Non Observed,5.0,0.0,5.0,135.0,36.0
120,1993 to 1994,Other Non Vegetated Area,7652.0,7652.0,0.0,161.0,0.0
121,1993 to 1994,Pasture,1427751.0,1427751.0,0.0,1012990.0,17005.0
122,1993 to 1994,"River, Lake and Ocean",72928.0,0.0,72928.0,154300.0,3510.0
123,1993 to 1994,Salt flat,185.0,0.0,185.0,122.0,41.0
124,1993 to 1994,Urban Infrastructure,2054.0,2054.0,0.0,6.0,1.0
125,1993 to 1994,Wetland,0.0,0.0,0.0,0.0,0.0
126,1994 to 1995,Agriculture,14190.0,14190.0,0.0,13906.0,104.0
127,1994 to 1995,Beach and Dune,22.0,0.0,22.0,39.0,24.0
128,1994 to 1995,Forest Plantation,9457.0,9457.0,0.0,2892.0,0.0
129,1994 to 1995,Grassland,130738.0,130738.0,0.0,313811.0,9975.0
130,1994 to 1995,Mining,50.0,50.0,0.0,5.0,2.0
131,1994 to 1995,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
132,1994 to 1995,Natural Forest,1687571.0,0.0,1687571.0,1088175.0,110185.0
133,1994 to 1995,Non Observed,181.0,0.0,181.0,144.0,1.0
134,1994 to 1995,Other Non Vegetated Area,7789.0,0.0,7789.0,205.0,0.0
135,1994 to 1995,Pasture,1674782.0,1674782.0,0.0,905329.0,125094.0
136,1994 to 1995,"River, Lake and Ocean",135251.0,0.0,135251.0,149560.0,7376.0
137,1994 to 1995,Salt flat,6.0,6.0,0.0,237.0,6.0
138,1994 to 1995,Urban Infrastructure,1589.0,1589.0,0.0,10.0,2.0
139,1994 to 1995,Wetland,0.0,0.0,0.0,0.0,0.0
140,1995 to 1996,Agriculture,44278.0,44278.0,0.0,15698.0,161.0
141,1995 to 1996,Beach and Dune,16.0,16.0,0.0,11.0,2.0
142,1995 to 1996,Forest Plantation,2554.0,0.0,2554.0,3112.0,489.0
143,1995 to 1996,Grassland,68997.0,0.0,68997.0,334921.0,41338.0
144,1995 to 1996,Mining,56.0,56.0,0.0,6.0,3.0
145,1995 to 1996,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
146,1995 to 1996,Natural Forest,1799360.0,0.0,1799360.0,1039326.0,2177.0
147,1995 to 1996,Non Observed,65.0,0.0,65.0,126.0,36.0
148,1995 to 1996,Other Non Vegetated Area,70.0,70.0,0.0,238.0,10.0
149,1995 to 1996,Pasture,1720080.0,1720080.0,0.0,802415.0,54695.0
150,1995 to 1996,"River, Lake and Ocean",99364.0,99364.0,0.0,172993.0,120.0
151,1995 to 1996,Salt flat,206.0,206.0,0.0,245.0,21.0
152,1995 to 1996,Urban Infrastructure,6906.0,6906.0,0.0,8.0,0.0
153,1995 to 1996,Wetland,0.0,0.0,0.0,0.0,0.0
154,1996 to 1997,Agriculture,20687.0,20687.0,0.0,13955.0,24.0
155,1996 to 1997,Beach and Dune,28.0,28.0,0.0,9.0,0.0
156,1996 to 1997,Forest Plantation,8282.0,8282.0,0.0,2958.0,0.0
157,1996 to 1997,Grassland,2077.0,0.0,2077.0,324665.0,70416.0
158,1996 to 1997,Mining,38.0,38.0,0.0,4.0,0.0
159,1996 to 1997,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
160,1996 to 1997,Natural Forest,1647863.0,0.0,1647863.0,1216691.0,50244.0
161,1996 to 1997,Non Observed,100.0,0.0,100.0,137.0,3.0
162,1996 to 1997,Other Non Vegetated Area,66.0,66.0,0.0,251.0,119.0
163,1996 to 1997,Pasture,1638933.0,1638933.0,0.0,959770.0,13509.0
164,1996 to 1997,"River, Lake and Ocean",22851.0,0.0,22851.0,196167.0,70802.0
165,1996 to 1997,Salt flat,1082.0,1082.0,0.0,181.0,13.0
166,1996 to 1997,Urban Infrastructure,3776.0,3776.0,0.0,8.0,1.0
167,1996 to 1997,Wetland,0.0,0.0,0.0,0.0,0.0
168,1997 to 1998,Agriculture,45231.0,45231.0,0.0,26140.0,69.0
169,1997 to 1998,Beach and Dune,3.0,0.0,3.0,22.0,1.0
170,1997 to 1998,Forest Plantation,543.0,0.0,543.0,2734.0,105.0
171,1997 to 1998,Grassland,11509.0,11509.0,0.0,389542.0,56290.0
172,1997 to 1998,Mining,24.0,24.0,0.0,7.0,4.0
173,1997 to 1998,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
174,1997 to 1998,Natural Forest,1201711.0,0.0,1201711.0,1257520.0,194646.0
175,1997 to 1998,Non Observed,38.0,0.0,38.0,149.0,7.0
176,1997 to 1998,Other Non Vegetated Area,726.0,726.0,0.0,86.0,43.0
177,1997 to 1998,Pasture,1293880.0,1293880.0,0.0,994005.0,64314.0
178,1997 to 1998,"River, Lake and Ocean",154344.0,0.0,154344.0,179396.0,53260.0
179,1997 to 1998,Salt flat,1687.0,1687.0,0.0,161.0,18.0
180,1997 to 1998,Urban Infrastructure,3582.0,3582.0,0.0,7.0,0.0
181,1997 to 1998,Wetland,0.0,0.0,0.0,0.0,0.0
182,1998 to 1999,Agriculture,48564.0,48564.0,0.0,41327.0,229.0
183,1998 to 1999,Beach and Dune,3.0,3.0,0.0,16.0,2.0
184,1998 to 1999,Forest Plantation,12137.0,0.0,12137.0,2830.0,7.0
185,1998 to 1999,Grassland,79605.0,79605.0,0.0,274860.0,58737.0
186,1998 to 1999,Mining,15.0,15.0,0.0,6.0,3.0
187,1998 to 1999,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
188,1998 to 1999,Natural Forest,1972624.0,0.0,1972624.0,867773.0,7011.0
