,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
80,1990 to 1991,Mining,0.0,0.0,0.0,0.0,0.0
81,1990 to 1991,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
82,1990 to 1991,Natural Forest,19553.0,0.0,19553.0,22128.0,1578.0
83,1990 to 1991,Non Observed,2.0,2.0,0.0,5.0,8.0
84,1990 to 1991,Other Non Vegetated Area,1394.0,1394.0,0.0,5986.0,598.0
85,1990 to 1991,Pasture,0.0,0.0,0.0,0.0,-0.0
86,1990 to 1991,"River, Lake and Ocean",1317.0,0.0,1317.0,5220.0,745.0
87,1990 to 1991,Rocky outcrop,27.0,27.0,0.0,18.0,37.0
88,1990 to 1991,Urban Infrastructure,404.0,404.0,0.0,1.0,-0.0
89,1990 to 1991,Wetland,309.0,309.0,0.0,1391.0,592.0
90,1991 to 1992,Agriculture,56942.0,0.0,56942.0,172328.0,252.0
91,1991 to 1992,Aquaculture,0.0,0.0,0.0,0.0,0.0
92,1991 to 1992,Beach and Dune,65.0,0.0,65.0,80.0,18.0
93,1991 to 1992,Forest Plantation,559.0,559.0,0.0,235.0,12.0
94,1991 to 1992,Grassland,24814.0,24814.0,0.0,167840.0,28914.0
95,1991 to 1992,Mining,0.0,0.0,0.0,0.0,0.0
96,1991 to 1992,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
97,1991 to 1992,Natural Forest,25926.0,25926.0,0.0,23633.0,174.0
98,1991 to 1992,Non Observed,2.0,2.0,0.0,5.0,1.0
99,1991 to 1992,Other Non Vegetated Area,873.0,0.0,873.0,5462.0,342.0
100,1991 to 1992,Pasture,0.0,0.0,0.0,0.0,-0.0
101,1991 to 1992,"River, Lake and Ocean",4938.0,4938.0,0.0,2653.0,534.0
102,1991 to 1992,Rocky outcrop,44.0,44.0,0.0,88.0,5.0
103,1991 to 1992,Urban Infrastructure,725.0,725.0,0.0,1.0,0.0
104,1991 to 1992,Wetland,871.0,871.0,0.0,741.0,423.0
105,1992 to 1993,Agriculture,10344.0,10344.0,0.0,175806.0,2448.0
106,1992 to 1993,Aquaculture,0.0,0.0,0.0,0.0,0.0
107,1992 to 1993,Beach and Dune,172.0,0.0,172.0,193.0,47.0
108,1992 to 1993,Forest Plantation,3864.0,3864.0,0.0,751.0,0.0
109,1992 to 1993,Grassland,2382.0,2382.0,0.0,181969.0,4678.0
110,1992 to 1993,Mining,1.0,0.0,1.0,0.0,0.0
111,1992 to 1993,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
112,1992 to 1993,Natural Forest,16222.0,0.0,16222.0,28614.0,240.0
113,1992 to 1993,Non Observed,1.0,1.0,0.0,6.0,9.0
114,1992 to 1993,Other Non Vegetated Area,6025.0,0.0,6025.0,5767.0,223.0
115,1992 to 1993,Pasture,0.0,0.0,0.0,0.0,0.0
116,1992 to 1993,"River, Lake and Ocean",1448.0,1448.0,0.0,4903.0,399.0
117,1992 to 1993,Rocky outcrop,31.0,0.0,31.0,34.0,7.0
118,1992 to 1993,Urban Infrastructure,974.0,974.0,0.0,3.0,0.0
119,1992 to 1993,Wetland,3438.0,3438.0,0.0,650.0,4.0
120,1993 to 1994,Agriculture,34016.0,34016.0,0.0,160792.0,3557.0
121,1993 to 1994,Aquaculture,0.0,0.0,0.0,0.0,0.0
122,1993 to 1994,Beach and Dune,195.0,0.0,195.0,142.0,40.0
123,1993 to 1994,Forest Plantation,2225.0,2225.0,0.0,69.0,-0.0
124,1993 to 1994,Grassland,37134.0,0.0,37134.0,166118.0,22.0
125,1993 to 1994,Mining,0.0,0.0,0.0,0.0,1.0
126,1993 to 1994,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
127,1993 to 1994,Natural Forest,4247.0,0.0,4247.0,31403.0,1243.0
128,1993 to 1994,Non Observed,7.0,0.0,7.0,4.0,10.0
129,1993 to 1994,Other Non Vegetated Area,3322.0,3322.0,0.0,5909.0,184.0
130,1993 to 1994,Pasture,0.0,0.0,0.0,0.0,0.0
131,1993 to 1994,"River, Lake and Ocean",301.0,0.0,301.0,3288.0,1482.0
132,1993 to 1994,Rocky outcrop,18.0,18.0,0.0,46.0,49.0
133,1993 to 1994,Urban Infrastructure,329.0,329.0,0.0,2.0,0.0
134,1993 to 1994,Wetland,1974.0,1974.0,0.0,1378.0,2.0
135,1994 to 1995,Agriculture,45438.0,45438.0,0.0,157488.0,133.0
136,1994 to 1995,Aquaculture,0.0,0.0,0.0,0.0,0.0
137,1994 to 1995,Beach and Dune,549.0,0.0,549.0,110.0,42.0
138,1994 to 1995,Forest Plantation,774.0,774.0,0.0,322.0,39.0
139,1994 to 1995,Grassland,16685.0,0.0,16685.0,163801.0,14311.0
140,1994 to 1995,Mining,0.0,0.0,0.0,0.0,1.0
141,1994 to 1995,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,-0.0
142,1994 to 1995,Natural Forest,16193.0,0.0,16193.0,21527.0,209.0
143,1994 to 1995,Non Observed,1.0,1.0,0.0,8.0,12.0
144,1994 to 1995,Other Non Vegetated Area,11456.0,0.0,11456.0,3706.0,636.0
145,1994 to 1995,Pasture,0.0,0.0,0.0,0.0,0.0
146,1994 to 1995,"River, Lake and Ocean",1551.0,0.0,1551.0,3470.0,1285.0
147,1994 to 1995,Rocky outcrop,126.0,126.0,0.0,15.0,0.0
148,1994 to 1995,Urban Infrastructure,470.0,470.0,0.0,1.0,0.0
149,1994 to 1995,Wetland,375.0,0.0,375.0,1628.0,820.0
150,1995 to 1996,Agriculture,123396.0,123396.0,0.0,133316.0,322.0
151,1995 to 1996,Aquaculture,0.0,0.0,0.0,0.0,0.0
152,1995 to 1996,Beach and Dune,383.0,0.0,383.0,123.0,1.0
153,1995 to 1996,Forest Plantation,522.0,522.0,0.0,452.0,421.0
154,1995 to 1996,Grassland,143730.0,0.0,143730.0,133047.0,4414.0
155,1995 to 1996,Mining,1.0,0.0,1.0,0.0,0.0
156,1995 to 1996,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
157,1995 to 1996,Natural Forest,28127.0,28127.0,0.0,21874.0,4075.0
158,1995 to 1996,Non Observed,3.0,3.0,0.0,13.0,2.0
159,1995 to 1996,Other Non Vegetated Area,4237.0,0.0,4237.0,2579.0,458.0
160,1995 to 1996,Pasture,0.0,0.0,0.0,0.0,0.0
161,1995 to 1996,"River, Lake and Ocean",1900.0,0.0,1900.0,2811.0,793.0
162,1995 to 1996,Rocky outcrop,1134.0,1134.0,0.0,17.0,3.0
163,1995 to 1996,Urban Infrastructure,462.0,462.0,0.0,2.0,0.0
164,1995 to 1996,Wetland,3394.0,0.0,3394.0,1197.0,0.0
165,1996 to 1997,Agriculture,54459.0,54459.0,0.0,151837.0,6562.0
166,1996 to 1997,Aquaculture,0.0,0.0,0.0,0.0,0.0
167,1996 to 1997,Beach and Dune,321.0,0.0,321.0,1304.0,467.0
168,1996 to 1997,Forest Plantation,270.0,270.0,0.0,275.0,862.0
169,1996 to 1997,Grassland,54251.0,0.0,54251.0,155930.0,1852.0
170,1996 to 1997,Mining,1.0,0.0,1.0,0.0,0.0
171,1996 to 1997,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
172,1996 to 1997,Natural Forest,11246.0,0.0,11246.0,22622.0,1396.0
173,1996 to 1997,Non Observed,1.0,1.0,0.0,11.0,5.0
174,1996 to 1997,Other Non Vegetated Area,5255.0,5255.0,0.0,4250.0,665.0
175,1996 to 1997,Pasture,0.0,0.0,0.0,0.0,0.0
176,1996 to 1997,"River, Lake and Ocean",8698.0,8698.0,0.0,3499.0,1.0
177,1996 to 1997,Rocky outcrop,59.0,59.0,0.0,95.0,27.0
178,1996 to 1997,Urban Infrastructure,467.0,467.0,0.0,3.0,3.0
179,1996 to 1997,Wetland,3390.0,0.0,3390.0,677.0,0.0
180,1997 to 1998,Agriculture,80595.0,80595.0,0.0,181231.0,6827.0
181,1997 to 1998,Aquaculture,0.0,0.0,0.0,0.0,0.0
182,1997 to 1998,Beach and Dune,123.0,0.0,123.0,91.0,24.0
183,1997 to 1998,Forest Plantation,603.0,603.0,0.0,390.0,228.0
184,1997 to 1998,Grassland,79741.0,0.0,79741.0,181361.0,6567.0
185,1997 to 1998,Mining,0.0,0.0,0.0,0.0,0.0
186,1997 to 1998,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
