,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
78,1989 to 1990,Other Non Vegetated Area,5960.0,0.0,5960.0,8151.0,1538.0
79,1989 to 1990,Pasture,47642.0,47642.0,0.0,350729.0,11689.0
80,1989 to 1990,"River, Lake and Ocean",3119.0,3119.0,0.0,1237.0,510.0
81,1989 to 1990,Rocky outcrop,887.0,887.0,0.0,884.0,78.0
82,1989 to 1990,Salt flat,61.0,61.0,0.0,48.0,10.0
83,1989 to 1990,Urban Infrastructure,10804.0,10804.0,0.0,43.0,0.0
84,1989 to 1990,Wetland,542.0,542.0,0.0,6864.0,2120.0
85,1990 to 1991,Agriculture,139364.0,139364.0,0.0,111241.0,21325.0
86,1990 to 1991,Aquaculture,97.0,0.0,97.0,93.0,45.0
87,1990 to 1991,Beach and Dune,17.0,17.0,0.0,387.0,344.0
88,1990 to 1991,Forest Plantation,85974.0,85974.0,0.0,4343.0,18.0
89,1990 to 1991,Grassland,3294.0,0.0,3294.0,4386.0,369.0
90,1990 to 1991,Mining,28.0,28.0,0.0,10.0,0.0
91,1990 to 1991,Mosaic of Agriculture and Pasture,153250.0,0.0,153250.0,432623.0,55815.0
92,1990 to 1991,Natural Forest,129444.0,0.0,129444.0,144851.0,2605.0
93,1990 to 1991,Non Observed,5.0,0.0,5.0,80.0,29.0
94,1990 to 1991,Other Non Forest Natural Formation,2259.0,0.0,2259.0,2030.0,174.0
95,1990 to 1991,Other Non Vegetated Area,3482.0,0.0,3482.0,6505.0,2071.0
96,1990 to 1991,Pasture,5656.0,0.0,5656.0,325054.0,43818.0
97,1990 to 1991,"River, Lake and Ocean",56848.0,56848.0,0.0,738.0,135.0
98,1990 to 1991,Rocky outcrop,161.0,0.0,161.0,1121.0,74.0
99,1990 to 1991,Salt flat,55.0,55.0,0.0,69.0,5.0
100,1990 to 1991,Urban Infrastructure,16057.0,16057.0,0.0,45.0,1.0
101,1990 to 1991,Wetland,695.0,0.0,695.0,4380.0,4316.0
102,1991 to 1992,Agriculture,26096.0,26096.0,0.0,135767.0,56127.0
103,1991 to 1992,Aquaculture,30.0,30.0,0.0,33.0,1.0
104,1991 to 1992,Beach and Dune,7.0,7.0,0.0,317.0,187.0
105,1991 to 1992,Forest Plantation,2705.0,0.0,2705.0,10642.0,3793.0
106,1991 to 1992,Grassland,1829.0,0.0,1829.0,4882.0,352.0
107,1991 to 1992,Mining,4.0,4.0,0.0,9.0,5.0
108,1991 to 1992,Mosaic of Agriculture and Pasture,78905.0,78905.0,0.0,483006.0,89249.0
109,1991 to 1992,Natural Forest,70966.0,0.0,70966.0,176862.0,4363.0
110,1991 to 1992,Non Observed,1.0,0.0,1.0,60.0,24.0
111,1991 to 1992,Other Non Forest Natural Formation,1764.0,0.0,1764.0,1529.0,704.0
112,1991 to 1992,Other Non Vegetated Area,383.0,383.0,0.0,7627.0,1499.0
113,1991 to 1992,Pasture,41206.0,0.0,41206.0,308811.0,64605.0
114,1991 to 1992,"River, Lake and Ocean",4897.0,4897.0,0.0,1223.0,58.0
115,1991 to 1992,Rocky outcrop,271.0,0.0,271.0,1195.0,139.0
116,1991 to 1992,Salt flat,41.0,0.0,41.0,41.0,17.0
117,1991 to 1992,Urban Infrastructure,9191.0,9191.0,0.0,43.0,7.0
118,1991 to 1992,Wetland,730.0,0.0,730.0,5780.0,576.0
119,1992 to 1993,Agriculture,124554.0,124554.0,0.0,121042.0,27650.0
120,1992 to 1993,Aquaculture,918.0,0.0,918.0,107.0,14.0
121,1992 to 1993,Beach and Dune,266.0,266.0,0.0,365.0,23.0
122,1992 to 1993,Forest Plantation,4531.0,0.0,4531.0,22175.0,1324.0
123,1992 to 1993,Grassland,753.0,0.0,753.0,5607.0,1776.0
124,1992 to 1993,Mining,15.0,0.0,15.0,11.0,1.0
125,1992 to 1993,Mosaic of Agriculture and Pasture,112557.0,0.0,112557.0,475672.0,56237.0
126,1992 to 1993,Natural Forest,49786.0,0.0,49786.0,190697.0,5272.0
127,1992 to 1993,Non Observed,10.0,10.0,0.0,71.0,20.0
128,1992 to 1993,Other Non Forest Natural Formation,2102.0,0.0,2102.0,2125.0,58.0
129,1992 to 1993,Other Non Vegetated Area,6279.0,0.0,6279.0,7751.0,1416.0
130,1992 to 1993,Pasture,23234.0,23234.0,0.0,320094.0,48962.0
131,1992 to 1993,"River, Lake and Ocean",7443.0,7443.0,0.0,1250.0,27.0
132,1992 to 1993,Rocky outcrop,285.0,285.0,0.0,1033.0,325.0
133,1992 to 1993,Salt flat,55.0,0.0,55.0,60.0,7.0
134,1992 to 1993,Urban Infrastructure,19195.0,19195.0,0.0,55.0,23.0
135,1992 to 1993,Wetland,2009.0,2009.0,0.0,5351.0,1016.0
136,1993 to 1994,Agriculture,106395.0,106395.0,0.0,90821.0,29241.0
137,1993 to 1994,Aquaculture,141.0,0.0,141.0,65.0,5.0
138,1993 to 1994,Beach and Dune,633.0,633.0,0.0,486.0,12.0
139,1993 to 1994,Forest Plantation,52000.0,52000.0,0.0,3676.0,5.0
140,1993 to 1994,Grassland,5125.0,0.0,5125.0,5476.0,243.0
141,1993 to 1994,Mining,14.0,14.0,0.0,13.0,5.0
142,1993 to 1994,Mosaic of Agriculture and Pasture,18845.0,0.0,18845.0,412205.0,127131.0
143,1993 to 1994,Natural Forest,83771.0,0.0,83771.0,149143.0,3532.0
144,1993 to 1994,Non Observed,15.0,15.0,0.0,98.0,2.0
145,1993 to 1994,Other Non Forest Natural Formation,95.0,95.0,0.0,2591.0,537.0
146,1993 to 1994,Other Non Vegetated Area,621.0,0.0,621.0,7094.0,2338.0
147,1993 to 1994,Pasture,50014.0,0.0,50014.0,278392.0,54209.0
148,1993 to 1994,"River, Lake and Ocean",818.0,818.0,0.0,1272.0,280.0
149,1993 to 1994,Rocky outcrop,574.0,574.0,0.0,1116.0,341.0
150,1993 to 1994,Salt flat,52.0,0.0,52.0,69.0,5.0
151,1993 to 1994,Urban Infrastructure,3137.0,3137.0,0.0,70.0,36.0
152,1993 to 1994,Wetland,5114.0,0.0,5114.0,4444.0,0.0
153,1994 to 1995,Agriculture,138075.0,138075.0,0.0,96470.0,18010.0
154,1994 to 1995,Aquaculture,522.0,522.0,0.0,173.0,0.0
155,1994 to 1995,Beach and Dune,78.0,0.0,78.0,652.0,89.0
156,1994 to 1995,Forest Plantation,6794.0,0.0,6794.0,16095.0,2279.0
157,1994 to 1995,Grassland,5650.0,0.0,5650.0,4855.0,76.0
158,1994 to 1995,Mining,9.0,9.0,0.0,11.0,5.0
159,1994 to 1995,Mosaic of Agriculture and Pasture,39701.0,39701.0,0.0,398526.0,167992.0
160,1994 to 1995,Natural Forest,53555.0,0.0,53555.0,162323.0,5803.0
161,1994 to 1995,Non Observed,8.0,8.0,0.0,80.0,17.0
162,1994 to 1995,Other Non Forest Natural Formation,1208.0,1208.0,0.0,3084.0,328.0
163,1994 to 1995,Other Non Vegetated Area,2058.0,0.0,2058.0,5962.0,1381.0
164,1994 to 1995,Pasture,125591.0,0.0,125591.0,284321.0,40176.0
165,1994 to 1995,"River, Lake and Ocean",2330.0,2330.0,0.0,1154.0,562.0
166,1994 to 1995,Rocky outcrop,239.0,0.0,239.0,1268.0,327.0
167,1994 to 1995,Salt flat,29.0,29.0,0.0,72.0,27.0
168,1994 to 1995,Urban Infrastructure,17073.0,17073.0,0.0,65.0,27.0
169,1994 to 1995,Wetland,4989.0,0.0,4989.0,6370.0,0.0
170,1995 to 1996,Agriculture,210330.0,210330.0,0.0,113515.0,18373.0
171,1995 to 1996,Aquaculture,160.0,0.0,160.0,35.0,10.0
172,1995 to 1996,Beach and Dune,243.0,0.0,243.0,280.0,30.0
173,1995 to 1996,Forest Plantation,9506.0,9506.0,0.0,11097.0,1236.0
174,1995 to 1996,Grassland,6856.0,0.0,6856.0,3676.0,0.0
175,1995 to 1996,Mining,25.0,0.0,25.0,10.0,4.0
176,1995 to 1996,Mosaic of Agriculture and Pasture,50627.0,0.0,50627.0,349112.0,186131.0
177,1995 to 1996,Natural Forest,102611.0,0.0,102611.0,124869.0,1848.0
178,1995 to 1996,Non Observed,16.0,16.0,0.0,94.0,3.0
179,1995 to 1996,Other Non Forest Natural Formation,287.0,0.0,287.0,2327.0,1993.0
180,1995 to 1996,Other Non Vegetated Area,1984.0,0.0,1984.0,5684.0,1985.0
181,1995 to 1996,Pasture,70103.0,0.0,70103.0,239568.0,57480.0
182,1995 to 1996,"River, Lake and Ocean",2025.0,2025.0,0.0,1319.0,73.0
183,1995 to 1996,Rocky outcrop,70.0,0.0,70.0,1274.0,200.0
184,1995 to 1996,Salt flat,40.0,40.0,0.0,38.0,2.0
185,1995 to 1996,Urban Infrastructure,10907.0,10907.0,0.0,56.0,2.0
186,1995 to 1996,Wetland,142.0,142.0,0.0,8197.0,1582.0
187,1996 to 1997,Agriculture,128715.0,128715.0,0.0,109566.0,25302.0
188,1996 to 1997,Aquaculture,33.0,33.0,0.0,17.0,0.0
189,1996 to 1997,Beach and Dune,2138.0,0.0,2138.0,417.0,144.0
190,1996 to 1997,Forest Plantation,13922.0,13922.0,0.0,8127.0,1450.0
191,1996 to 1997,Grassland,11283.0,0.0,11283.0,3489.0,-0.0
192,1996 to 1997,Mining,3.0,3.0,0.0,12.0,10.0
193,1996 to 1997,Mosaic of Agriculture and Pasture,67650.0,67650.0,0.0,365613.0,162330.0
194,1996 to 1997,Natural Forest,89007.0,0.0,89007.0,119734.0,2891.0
195,1996 to 1997,Non Observed,5.0,0.0,5.0,116.0,24.0
196,1996 to 1997,Other Non Forest Natural Formation,784.0,784.0,0.0,2607.0,619.0
197,1996 to 1997,Other Non Vegetated Area,251.0,0.0,251.0,5045.0,2187.0
