,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
78,1989 to 1990,Salt flat,20.0,0.0,20.0,89.0,29.0
79,1989 to 1990,Urban Infrastructure,2423.0,2423.0,0.0,8.0,0.0
80,1990 to 1991,Agriculture,7971.0,7971.0,0.0,16677.0,18.0
81,1990 to 1991,Aquaculture,432.0,432.0,0.0,425.0,166.0
82,1990 to 1991,Beach and Dune,368.0,0.0,368.0,851.0,392.0
83,1990 to 1991,Forest Plantation,419.0,419.0,0.0,0.0,0.0
84,1990 to 1991,Grassland,28428.0,0.0,28428.0,83645.0,27068.0
85,1990 to 1991,Mining,1.0,1.0,0.0,1.0,0.0
86,1990 to 1991,Mosaic of Agriculture and Pasture,45270.0,0.0,45270.0,339181.0,140901.0
87,1990 to 1991,Natural Forest,154547.0,0.0,154547.0,405278.0,23005.0
88,1990 to 1991,Non Observed,124.0,0.0,124.0,102.0,5.0
89,1990 to 1991,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
90,1990 to 1991,Other Non Vegetated Area,9267.0,9267.0,0.0,14268.0,10425.0
91,1990 to 1991,Pasture,208014.0,208014.0,0.0,297629.0,47546.0
92,1990 to 1991,"River, Lake and Ocean",13866.0,0.0,13866.0,16776.0,4186.0
93,1990 to 1991,Rocky outcrop,15944.0,15944.0,0.0,16705.0,1449.0
94,1990 to 1991,Salt flat,164.0,0.0,164.0,196.0,49.0
95,1990 to 1991,Urban Infrastructure,720.0,720.0,0.0,10.0,0.0
96,1991 to 1992,Agriculture,17543.0,17543.0,0.0,16070.0,6.0
97,1991 to 1992,Aquaculture,177.0,177.0,0.0,10.0,31.0
98,1991 to 1992,Beach and Dune,46.0,46.0,0.0,283.0,46.0
99,1991 to 1992,Forest Plantation,70.0,0.0,70.0,5.0,-0.0
100,1991 to 1992,Grassland,26975.0,26975.0,0.0,65445.0,10560.0
101,1991 to 1992,Mining,1.0,0.0,1.0,2.0,0.0
102,1991 to 1992,Mosaic of Agriculture and Pasture,63566.0,0.0,63566.0,380640.0,120814.0
103,1991 to 1992,Natural Forest,244352.0,0.0,244352.0,378292.0,1047.0
104,1991 to 1992,Non Observed,35.0,0.0,35.0,31.0,4.0
105,1991 to 1992,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
106,1991 to 1992,Other Non Vegetated Area,3549.0,0.0,3549.0,21341.0,4931.0
107,1991 to 1992,Pasture,272549.0,272549.0,0.0,320137.0,20588.0
108,1991 to 1992,"River, Lake and Ocean",922.0,922.0,0.0,18750.0,1319.0
109,1991 to 1992,Rocky outcrop,8494.0,0.0,8494.0,19874.0,3470.0
110,1991 to 1992,Salt flat,27.0,0.0,27.0,54.0,39.0
111,1991 to 1992,Urban Infrastructure,1880.0,1880.0,0.0,12.0,1.0
112,1992 to 1993,Agriculture,36034.0,36034.0,0.0,14297.0,1.0
113,1992 to 1993,Aquaculture,133.0,0.0,133.0,191.0,29.0
114,1992 to 1993,Beach and Dune,433.0,0.0,433.0,347.0,28.0
115,1992 to 1993,Forest Plantation,172.0,0.0,172.0,14.0,-0.0
116,1992 to 1993,Grassland,107213.0,0.0,107213.0,81968.0,17962.0
117,1992 to 1993,Mining,1.0,0.0,1.0,1.0,0.0
118,1992 to 1993,Mosaic of Agriculture and Pasture,29212.0,29212.0,0.0,370303.0,113869.0
119,1992 to 1993,Natural Forest,274908.0,0.0,274908.0,342226.0,28760.0
120,1992 to 1993,Non Observed,22.0,0.0,22.0,66.0,4.0
121,1992 to 1993,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
122,1992 to 1993,Other Non Vegetated Area,46806.0,0.0,46806.0,9797.0,1611.0
123,1992 to 1993,Pasture,442174.0,442174.0,0.0,237407.0,29368.0
124,1992 to 1993,"River, Lake and Ocean",51988.0,0.0,51988.0,7427.0,71.0
125,1992 to 1993,Rocky outcrop,26470.0,0.0,26470.0,15760.0,233.0
126,1992 to 1993,Salt flat,15.0,15.0,0.0,46.0,17.0
127,1992 to 1993,Urban Infrastructure,712.0,712.0,0.0,12.0,8.0
128,1993 to 1994,Agriculture,91867.0,91867.0,0.0,8533.0,5.0
129,1993 to 1994,Aquaculture,507.0,0.0,507.0,58.0,0.0
130,1993 to 1994,Beach and Dune,858.0,0.0,858.0,797.0,93.0
131,1993 to 1994,Forest Plantation,41.0,41.0,0.0,0.0,-0.0
132,1993 to 1994,Grassland,125018.0,0.0,125018.0,66245.0,10663.0
133,1993 to 1994,Mining,0.0,0.0,0.0,1.0,1.0
134,1993 to 1994,Mosaic of Agriculture and Pasture,46810.0,0.0,46810.0,403237.0,120592.0
135,1993 to 1994,Natural Forest,129687.0,129687.0,0.0,432178.0,8222.0
136,1993 to 1994,Non Observed,48.0,48.0,0.0,46.0,23.0
137,1993 to 1994,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
138,1993 to 1994,Other Non Vegetated Area,80.0,0.0,80.0,4501.0,2451.0
139,1993 to 1994,Pasture,59021.0,0.0,59021.0,316970.0,31604.0
140,1993 to 1994,"River, Lake and Ocean",8.0,0.0,8.0,29710.0,5571.0
141,1993 to 1994,Rocky outcrop,8211.0,8211.0,0.0,11588.0,336.0
142,1993 to 1994,Salt flat,101.0,101.0,0.0,86.0,87.0
143,1993 to 1994,Urban Infrastructure,2345.0,2345.0,0.0,23.0,0.0
144,1994 to 1995,Agriculture,40460.0,40460.0,0.0,9559.0,294.0
145,1994 to 1995,Aquaculture,254.0,254.0,0.0,112.0,102.0
146,1994 to 1995,Beach and Dune,515.0,515.0,0.0,725.0,148.0
147,1994 to 1995,Forest Plantation,33.0,0.0,33.0,6.0,2.0
148,1994 to 1995,Grassland,19344.0,19344.0,0.0,64338.0,7333.0
149,1994 to 1995,Mining,2.0,0.0,2.0,1.0,-0.0
150,1994 to 1995,Mosaic of Agriculture and Pasture,57643.0,57643.0,0.0,429473.0,57245.0
151,1994 to 1995,Natural Forest,165055.0,165055.0,0.0,520441.0,8748.0
152,1994 to 1995,Non Observed,32.0,32.0,0.0,75.0,50.0
153,1994 to 1995,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
154,1994 to 1995,Other Non Vegetated Area,18745.0,18745.0,0.0,5104.0,1955.0
155,1994 to 1995,Pasture,234469.0,0.0,234469.0,344755.0,7467.0
156,1994 to 1995,"River, Lake and Ocean",62524.0,0.0,62524.0,19860.0,0.0
157,1994 to 1995,Rocky outcrop,7183.0,0.0,7183.0,9609.0,9596.0
158,1994 to 1995,Salt flat,106.0,0.0,106.0,116.0,27.0
159,1994 to 1995,Urban Infrastructure,2268.0,2268.0,0.0,18.0,3.0
160,1995 to 1996,Agriculture,4752.0,0.0,4752.0,20153.0,7226.0
161,1995 to 1996,Aquaculture,247.0,0.0,247.0,140.0,86.0
162,1995 to 1996,Beach and Dune,742.0,742.0,0.0,265.0,88.0
163,1995 to 1996,Forest Plantation,18.0,0.0,18.0,8.0,45.0
164,1995 to 1996,Grassland,7342.0,7342.0,0.0,77779.0,14084.0
165,1995 to 1996,Mining,1.0,0.0,1.0,2.0,0.0
166,1995 to 1996,Mosaic of Agriculture and Pasture,1973.0,0.0,1973.0,379486.0,33129.0
167,1995 to 1996,Natural Forest,71789.0,0.0,71789.0,441752.0,11585.0
