,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,541518642.0,306491.0,4086593.0,51218.0,164544.0,113.0
NaturalNonForestFormation,291427.0,53281596.0,756927.0,40482.0,76167.0,97.0
Agriculture,1437215.0,324194.0,227969924.0,65024.0,158935.0,72.0
NonVegetatedArea,3970.0,16990.0,141774.0,3891211.0,2818.0,178.0
BodiesofWater,71807.0,31589.0,19405.0,3110.0,16472531.0,196.0
NotObserved,151.0,110.0,972.0,139.0,155.0,18604.0
