,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,549124378.0,397992.0,4695087.0,33720.0,172764.0,147.0
NaturalNonForestFormation,294146.0,54207856.0,621249.0,43383.0,83676.0,115.0
Agriculture,1467761.0,314666.0,219256967.0,59459.0,82731.0,84.0
NonVegetatedArea,2811.0,12713.0,114044.0,3809946.0,6580.0,155.0
BodiesofWater,311483.0,303878.0,26135.0,1280.0,15739645.0,276.0
NotObserved,217.0,121.0,148.0,161.0,151.0,19445.0
