,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,579953534.0,367302.0,4216412.0,33631.0,156141.0,134.0
NaturalNonForestFormation,580127.0,55056336.0,407395.0,17821.0,98378.0,83.0
Agriculture,1525865.0,474400.0,189039383.0,84091.0,26558.0,45.0
NonVegetatedArea,5993.0,12788.0,93218.0,3097181.0,1988.0,98.0
BodiesofWater,196425.0,63859.0,39540.0,1600.0,15633653.0,140.0
NotObserved,134.0,77.0,63.0,105.0,128.0,20742.0
