,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,529766616.0,197425.0,2229934.0,19582.0,120816.0,145.0
NaturalNonForestFormation,248437.0,50904343.0,411484.0,22163.0,61308.0,95.0
Agriculture,1112426.0,227111.0,244002280.0,51579.0,41624.0,97.0
NonVegetatedArea,4534.0,12713.0,56095.0,4436228.0,1556.0,163.0
BodiesofWater,96555.0,93634.0,97096.0,6617.0,16964234.0,114.0
NotObserved,129.0,99.0,80.0,123.0,256.0,17680.0
