,Forest,NaturalNonForestFormation,Agriculture,NonVegetatedArea,BodiesofWater,NotObserved
Forest,539002006.0,293793.0,3655306.0,44078.0,105191.0,141.0
NaturalNonForestFormation,239972.0,53084672.0,501194.0,35977.0,54616.0,110.0
Agriculture,1345956.0,329908.0,231301917.0,55653.0,43509.0,143.0
NonVegetatedArea,6318.0,16789.0,124591.0,3952699.0,6202.0,162.0
BodiesofWater,105236.0,60212.0,27257.0,2560.0,16789769.0,195.0
NotObserved,108.0,87.0,201.0,158.0,218.0,18468.0
