,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,15670333.367710685,30.186535173,4.801084363,61745.272692201004,1358.9813495600001,6.307854839,481116.88125878794,31369.213367775992,0.331370355,216.04506120599999,2946.9048933229997,292102.22862884897,2398.327554972,0.670990265,0.264473828,17236.975902199996,1167.328577934
Aquaculture,1.4957744499999999,7342.734192919999,0.0,9.416553516,,,364.5506451330001,22.437765144,0.0,8.008084186,50.671352834000004,87.246418788,516.948535472,,13.588768683,10.190016089,
Beach and Dune,45.49629341000001,3.9489871030000003,62279.249334500004,3.123842102,,,2543.2152995750002,1.030948596,109.30476340700001,649.445896922,989.302311619,402.17569955399995,252.41647797899998,0.0,4.118627923,878.2041650049999,0.5023738090000001
Forest Plantation,20852.454600578003,0.0,0.0,3268014.8393442896,32.775128503,40.262312901,1343.8992177720002,7214.645445785001,0.079482648,1.017287897,12.636225325,1699.7947725960003,9.473028368,0.082665582,0.0,946.06942773,0.166344348
Grassland,41124.05757309701,,,14028.894569041,1075613.09028861,1.103890668,8667.514058601,4887.9122246219995,0.0,,180.55572981,4011.184205277,216.64424513,,,113.582783638,0.0
Mining,2.68037572,0.0,,1.076278808,0.078879651,21734.1721793,43.329647804000004,4.626710889,,,24.155783603000003,10.014510895,25.402527411,1.0912818359999998,,154.676257434,
Mosaic of Agriculture and Pasture,1149877.073274742,227.587494891,842.017914451,64921.430063543994,1153.410340228,435.12975724600005,14994753.297640001,437570.749437254,41.419719965,2961.515628143,8606.17359194,1238123.444113,7160.9326668899985,1384.34323466,57.11219440399999,51020.855386690004,12556.78101043
Natural Forest,65664.011255447,12.423740818999999,0.531431489,174700.54397174396,2050.100001102,777.2841496610001,282349.610921538,32321292.934715785,24.669398036999997,3048.0078261989997,1575.510458101,300653.88514905603,8445.950057063998,1109.492970473,43.876123934000006,5033.250286797001,7666.113272721999
Non Observed,1.006654217,0.0,24.240984748000002,0.476876819,0.0,,44.715753465000006,17.289086194,221.533119458,0.523211523,79.781642588,6.3191510310000005,38.436372615,0.0,1.987379316,33.797952124000005,0.087409479
Other Non Forest Natural Formation,542.5050142540001,5.9207339480000005,168.58675509699998,46.749551556,,,2719.166597345,986.1396653049999,0.25197273600000003,108697.56889278103,663.7721337800001,2733.003025977,155.72593549299998,10.791589703,15.469092134,17.870736853999997,0.165962042
Other Non Vegetated Area,899.0736486300001,46.875064855000005,577.5896079470001,143.764884127,60.68937243,420.810762644,5766.816850469999,318.88335001599995,42.033985453,948.428472018,107900.806901,4053.661538602,872.0899567390001,575.29666719,3.5274803099999996,3446.581929693,11.224361219
Pasture,1793004.6247887963,103.803468571,1106.2437483009999,114744.20340684002,1663.78975544,160.286555792,2106562.734092,341549.38416984904,2.3590664909999997,4483.849416821001,5677.694143903001,29437612.2022,2323.196957373,1653.5571088329998,3.676279822,34013.913943334,5676.921592962
"River, Lake and Ocean",993.936509086,426.674759624,398.613194789,175.95001353,18.945512665000003,178.25260951199996,1599.148842205,1534.3778855850003,32.310817542,91.83310211300001,1730.097544185,1094.268243135,2049781.3973690001,45.69892602,57.62232132899999,267.97946458300004,720.519388658
Rocky outcrop,18.246581953,,0.0,253.08106770800003,,557.4864151,876.7579805129999,1103.6901078470003,0.0,19.812266073999997,392.16233896499995,658.691031569,3.60313601,178703.848959,,204.89896456600002,
Salt flat,0.5283575309999999,7.611546643,0.088136646,0.0,,,135.935169544,24.553301415,2.115429595,135.891017146,25.656324599000005,7.510820502,202.778222503,,10247.272549109999,83.588634212,37.116682477000005
Urban Infrastructure,1.3158895629999998,10.552284453999999,134.863532787,0.165372522,0.0,407.86510615900005,14.063440712,4.667237164,14.115316553,0.416616235,3.3997280759999997,5.217252531000001,4.7972838819999994,0.083885461,32.417708655000006,1686558.6457669002,0.083483765
Wetland,575.915059474,,0.0,6.928548211000001,0.0,,8058.418776447001,10079.283519372002,0.0,0.332278967,29.689334875,4381.843567229999,1243.74432001,,0.08737940699999999,9.672743164,342114.7955377
