,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,18480259.15839653,0.17721413,0.708600677,9945.512327958999,891.50886335,0.41061252400000003,201741.76972077801,13399.776340186998,0.323296582,137.325871122,1520.6945795430001,101042.24268366204,924.0643396119999,7.69897995,0.0,1809.439525676,338.173633702
Aquaculture,0.082654797,8300.9173808,0.0,0.0,,,23.845990184999998,3.230100611,0.0,1.732781427,3.2321590280000003,0.082554785,307.181045055,,0.9678640009999999,0.767426434,
Beach and Dune,13.437250338999998,0.0,63093.34808620001,0.084479315,,,211.317972132,0.173912225,30.775190888,100.646500023,147.230115307,58.094728958,11.001501338999999,0.0,0.0,61.42124347200001,0.912067328
Forest Plantation,11292.187905767998,0.0,0.08448054199999999,3958046.9505536105,10.397534882,15.297776719,953.528246981,4303.085367116001,0.0,1.6875730949999999,1.8611388069999997,659.140858415,1.603100787,0.332142022,0.0,77.738141189,0.664129864
Grassland,1987.544896609,,,57.720464230000005,1050081.677142578,0.39627998600000003,3527.3017963630004,393.44043873500004,0.0,,80.267496541,995.5041151199999,6.456389703,,,4.2033203310000005,0.0
Mining,0.0,0.0,,0.983987256,0.0,24170.759256299996,3.8964706920000003,0.32932161800000004,,,11.991907202,1.6990699960000002,0.416302289,0.0,,16.783177759,
Mosaic of Agriculture and Pasture,349026.93585673795,1.588077674,116.98478010199999,7846.0090793790005,428.57083981999995,127.97329534400001,16851498.362050004,72025.745897358,27.592056714999995,874.5250492669999,2459.462829495,137550.84969050004,3626.6447343050004,494.389098786,24.836896388,4604.012122451,3384.7797456299995
Natural Forest,5239.442456643001,0.0,0.0,33753.405195508,205.457145349,12.692069589999997,79956.91938965503,33369126.907946892,8.748205811,2360.60021854,543.4618214159999,17131.813904764997,530.4191805689999,594.5332906750001,10.616114074999999,219.479674586,3251.9657318499994
Non Observed,0.244329705,0.0,17.345387889999998,0.23838099999999998,0.0,,20.94038855,6.817590791,365.623240029,0.0,49.632243119,1.729496655,12.877630525999999,0.0,1.027578193,9.352845056,0.0874427
Other Non Forest Natural Formation,11.480868921999999,0.347358282,25.08735483,18.188846563,,,1014.866764547,406.15116211699996,0.25514476900000005,118320.61154384699,205.748364926,182.15450482900002,16.746153895,1.777940344,4.631687542,0.671044421,0.0
Other Non Vegetated Area,127.739121083,0.08257124,69.301776238,26.139090449999998,14.426500287000001,214.02266741900002,2644.435040856,183.49073705499998,27.551340487999997,207.193033573,135338.16909229997,676.8138126100001,516.10387295,107.44374818899999,0.682645197,463.83918443199997,22.018710263999996
Pasture,115496.95820503299,0.35066985500000003,102.804496854,19041.988407917997,547.71033724,3.8392391480000003,215974.10891239997,12417.458804242,3.180176769000001,618.737354671,1286.228182819,30627343.521939993,90.70564862,320.06241237500006,0.0,1373.8066415389999,616.577198646
"River, Lake and Ocean",146.209798409,11.485434857999998,4.948806288,32.82484526100001,1.891132727,73.916923276,399.932776338,354.612913614,18.285633966,26.810001769,327.31262367299996,21.397193682000005,2070494.0405610004,0.425696478,23.146698446,12.686164081,224.61522687900003
Rocky outcrop,1.998022198,,0.0,1.605432269,,398.4296999,296.829828253,206.54735635499998,0.0,2.882249719,86.361584344,366.823640966,14.1916414,182179.146093,,6.3846366759999995,
Salt flat,0.0,1.14779228,0.176273846,0.0,,,16.361574251,1.332463934,1.1342580439999999,5.529825861,3.8899730839999993,0.43567359,35.34152928899999,,9037.010109499999,30.040387861000003,0.0
Urban Infrastructure,2.3862609060000004,0.0,73.07756031800001,0.0,0.0,558.2145430190001,17.06717619,2.077876691,6.029518506,0.258487213,4.307814922,4.860757776,2.541101557,0.16779306,4.225392884,1863363.0995096,0.0
Wetland,152.47460601199998,,0.0,4.018604358,0.0,,3377.0638978250004,3525.792808534,0.0,0.083082642,22.0203874,171.45961821,495.243478,,0.699863342,0.167419604,374598.10994470003
