,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,18186813.114311144,9.162253583,1.067083832,3345.401855516,10.659203638000001,0.0,77809.168031929,2988.007724157,0.176713257,8.732742853000001,189.00498985599998,25070.199860247,42.620451563,0.0,0.0,1833.1433658340002,42.384625766999996
Aquaculture,0.17117769700000002,8614.33432072,0.0,0.589553424,,,35.906176381,0.6222921450000001,0.0,1.213608368,1.155765271,0.175445844,50.620798998,,1.410552515,0.165154773,
Beach and Dune,12.368339278,0.087755835,63879.362178,0.08440966800000001,,,170.405385198,0.33649573299999996,46.294079807,51.688473978000005,158.209618864,69.301099261,10.334357141000002,0.0,0.264022625,98.04010860300001,0.0
Forest Plantation,3905.8953148699993,0.0,0.0,3910729.4826326603,5.200930036,0.328319385,757.1184125390001,3079.459509128,0.079420483,0.75473393,1.5681551200000001,436.558518629,1.185512078,0.168721399,0.0,54.869772847,0.0
Grassland,197.16145931,,,162.69412754400003,1062927.2404528582,0.394347894,4969.755326486001,700.4841011970001,0.0,,76.18832078,822.0097444799999,14.409988825000001,,,12.130093154,0.0
Mining,0.0,0.0,,0.332033746,0.0,23457.3546888,4.430817218,0.420343946,,,16.326539313,1.5398613289999998,4.423052631,0.50422218,,24.84133681,
Mosaic of Agriculture and Pasture,280550.909186872,6.717381214000001,116.528126171,4922.610863127001,509.85113015699994,27.389640548,17201711.384220004,99301.16846710497,25.540767340000002,967.7793722710002,2629.09488243,110761.74629050001,448.22968270300004,492.443703818,14.402047579000001,5967.7577127469995,3245.2446680149997
Natural Forest,7145.011403736002,0.0,0.0,9389.390883902,295.875396308,8.55315628,69482.07275097599,33236813.248075046,7.090732233999999,314.68266585900005,428.594709457,22727.185713342005,308.73328174899996,573.3886565729999,1.6583669070000002,242.18919580499997,740.49160789
Non Observed,1.163115765,0.0,8.908218176,0.0,0.0,,20.577185804,8.20312881,359.420470332,0.517851568,47.338567653000005,4.4296101750000005,15.501651274999999,0.0,0.874745874,12.086182087000001,0.0
Other Non Forest Natural Formation,9.423947785,0.348991754,80.623018264,0.6615071960000001,,,729.7038175790001,261.284879773,0.08538122599999999,113827.20722250601,80.357571429,174.66506425300003,39.661993427,1.86864375,2.084019526,6.7940074159999995,0.083082642
Other Non Vegetated Area,204.98568817100002,0.742858399,77.27317150500001,7.434387647,29.797616601999998,8.978789330000001,2129.301962571,97.536719721,27.916486213999995,167.44710068900002,132186.82319149998,1231.5296271559996,248.675883989,93.252875316,1.7163731009999998,781.7138428139999,9.116422211
Pasture,183624.85205113702,0.9651890320000001,53.448059219,1855.6908791279998,580.1855447,2.9453348509999997,237956.73060660003,10651.302504448002,1.552541558,883.2627813830001,994.7771482660002,31035167.918369997,28.828286332000005,360.12606784199994,0.26305706799999995,2539.536241877,300.713980888
"River, Lake and Ocean",555.1719937480001,48.188142969,7.728926692,24.163706110000003,4.552892126,3.181843054,2865.1900353700003,359.61629728599996,10.064888366,20.630815405999996,476.14369537900006,54.035120689,2072559.1759409998,1.9289350889999999,26.861477897000007,19.208691951,131.67315571
Rocky outcrop,10.352344666,,0.0,30.526484544,,20.16106227,322.87499930499996,331.23049216600003,0.0,6.204792445000001,76.758884035,218.74988401799996,3.1069255310000004,178213.62773900002,,11.59330699,
Salt flat,0.0,1.413569989,0.176606323,0.0,,,24.754859712000005,3.4852530460000004,1.5514742309999998,28.474880361,3.2849333200000004,0.611726666,19.352743076000003,,9457.953635079999,4.618126490000001,23.8099881
Urban Infrastructure,1.9727944580000003,0.164885754,48.812080193,0.0,0.0,22.023426181999998,14.652882463000001,2.7596472299999997,6.666337445,0.08287127700000001,3.754235291,7.185747417,2.646417853,0.336121936,12.517818024999999,1830255.3731894,0.0
Wetland,210.22730771300002,,0.0,0.747541546,0.0,,2940.6763255460005,3009.8582098,0.0,0.083030273,28.035549371,166.96757623899998,71.99635917699999,,0.0,0.16626424,381287.4635109999
