,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,8921080.271375917,129.137053572,7.8360085569999995,112708.14256823101,1203.070740508,70.836008207,499515.492526096,80564.006928182,0.176713257,236.447717809,4570.432847895001,268310.25494029006,5809.922035879001,0.584992927,0.264969928,90990.039021964,83.477713776
Aquaculture,0.0,2762.32710252,1.306318103,0.0,,,1.67260249,26.73698021,0.0,4.255868372,25.49465065,1.701833514,869.285482069,,2.7961875860000003,40.440958048,
Beach and Dune,235.684613437,0.087755359,64291.3761672,21.71987731,,,6467.741724701002,49.264916379,92.066378737,1924.4596986830002,1968.767678035,2993.2043729019997,469.57499213100004,0.0,5.192296239999999,3139.1405500899996,0.340663159
Forest Plantation,28974.156100838,3.537208923,11.784389599999999,1051601.332691323,44.913133156,82.17763376,5191.649855749999,22992.584155079,0.0,13.966943121,27.571870005999997,17630.905714894,19.220130745,1.010414502,0.0,1526.80960896,1.503473065
Grassland,248864.49639361099,,,123782.19915164402,1124010.532620061,0.157637561,24147.353423798002,25194.523667100002,0.0,,398.21515730299996,10174.523339092002,1125.163985393,,,1596.602136496,0.0
Mining,8.09384419,1.15242948,,4.712560413,0.712308343,18284.03035082,592.117376136,57.81452968399999,,,296.169929237,201.053399186,278.05413258100003,522.6668444000001,,1427.5422434920006,
Mosaic of Agriculture and Pasture,2083112.588413442,1770.2962691970004,1312.968810092,277845.91625368997,2311.8142153209997,1092.420072078,11665881.36395,903635.4930744242,53.304267659,3993.3736522900003,9467.69729448,2546355.8948230003,80713.89004537,11721.5486183,412.08242663699997,323318.39840509003,15481.976259579998
Natural Forest,758957.305051113,494.734601706,181.257369111,848606.6437781521,6224.718888775,3333.389219191,984908.1709656384,30951690.084270358,38.35178612100001,3062.728916806,4123.004303984001,2440989.2891944586,119319.027385047,6610.713196545999,220.86712508799997,84448.29402944299,46787.458400714
Non Observed,0.088255975,0.0,49.51075634700001,0.159008594,0.0,,52.014673196,18.300217865999997,111.50637730800001,0.25628971500000003,52.864488005000005,8.537464537999998,42.138335408,0.0,1.9137801209999998,54.771172015000005,0.0
Other Non Forest Natural Formation,348.042791652,280.71962675199995,515.558265334,244.36746741299999,,,3277.254586429,4050.9296076059995,1.197550007,106273.19478593,1023.5697109619997,11157.694357587,787.14925112,23.754129703999997,144.366289843,1023.3950381120001,0.49817816200000004
Other Non Vegetated Area,5111.120694722999,61.023798233,1071.89560754,1684.018622209,102.940033497,39.617520602,14161.930437969999,2786.441234687,106.707832334,874.2703949879999,123558.79694170001,19372.71310252,2315.608262335,1051.781922571,53.498130864000004,45042.383569260004,57.863838461
Pasture,5849898.949737183,1249.013520109,1421.351156146,910007.412508774,5265.925828536,1004.9856606989999,4637380.2746672,1738860.6543002313,1.62237688,12863.334625180003,13326.522516254998,26749644.694207,98292.176398357,4868.55929825,36.841603861,276677.8202441189,30822.908068045
"River, Lake and Ocean",1469.4246588459998,762.316081638,1071.7045098990002,330.732603481,0.157379791,125.805883977,286.710655673,2003.4316420819996,69.879203852,102.34710890699999,2308.704812622,204.369820438,1654525.62203,0.8384965699999999,298.644488085,2092.139821231,28.205406105
Rocky outcrop,5.594283923000001,,0.0,71.74161314300001,,619.2233233,574.8894368759999,1149.5792193590003,0.0,23.107415775,414.0113027119999,552.9320047460001,64.59685640000001,127757.51689600002,,518.7109908970001,
Salt flat,0.175758105,20.36522548,3.93085329,0.714953217,,,272.836164446,608.977580209,2.2843850219999995,72.30360668499999,15.029686615000001,8.52071377,146.96482365,,8005.5222763,128.283406342,0.262431152
Urban Infrastructure,0.160557874,14.100537699,292.93194932700004,0.082686023,0.0,9.044956347,1.32189558,18.347852376,10.013118138,0.0,0.07945111099999999,0.24888170799999998,1.247971071,0.0,53.88275335,844014.75050561,0.0
Wetland,1416.4098079670002,,0.087397528,2.671013268,0.0,,13418.921485800001,16219.630219338002,0.0,0.7471102540000001,65.784054792,19685.110415699997,39836.71389158999,,0.35099894400000003,117.47031929399999,267225.09584759997
