,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,10455880.109569615,3.746921703,0.177981757,1814.0100292900001,274.96739130300006,0.322700421,61192.563492798006,1560.1054497399998,0.176481567,5.391639301,95.69181576700001,47245.31457638199,74.546756601,0.0,0.08885267300000001,2206.247789036,7.4017386169999995
Aquaculture,0.0,2912.841060222,0.0,0.0,,,1.748482117,0.082556226,0.0,0.0,0.742966138,0.08763513199999999,170.540587496,,0.438111877,0.082565973,
Beach and Dune,1.601340704,0.0,86863.13563660001,0.085065924,,,228.460954295,0.779049609,33.46396902,55.658710743,217.99472871299997,232.085048774,4.68324469,0.0,0.617822895,42.82733511,0.0
Forest Plantation,1452.7970884950003,0.5895514829999999,0.254803803,1562111.3013685879,2.378205639,0.250072448,2410.2440784400005,11944.784509054001,0.0,92.51276194,6.267126392,9020.996803028,56.102247439,0.9236132209999999,0.0,8.385444347,171.176192021
Grassland,328.444268074,,,46.080406249999996,1498153.8115404348,0.0,3345.725712832,2638.738429348,0.0,,4.183001801,4213.954435364,2.680050635,,,0.867564929,0.0
Mining,0.080675012,0.0,,0.0,0.0,22866.802540700002,4.4741704030000005,2.010702625,,,2.264811462,2.006881585,0.084321588,2.856613452,,2.178401117,
Mosaic of Agriculture and Pasture,217123.66019605604,44.287365881999996,232.31573565600002,4140.909931493001,497.33321854400003,3.4233309679999997,16958108.896469995,114543.503881886,18.400486535000002,944.350945159,2976.684230122,212416.1911526,671.128642794,302.755057676,35.984921974,9846.958619073,2719.256047447
Natural Forest,937.4551029460001,0.334821392,3.9932653800000004,11102.947290424001,682.1151381699999,10.275242883,153492.47956463395,33451876.557161324,11.600357985999999,1928.9586835170003,1347.4497766340003,45852.07604225198,2144.0897639289997,885.1649126179999,3.751910637,296.169316084,2981.521541308
Non Observed,0.176414325,0.0,22.650143891,0.0,0.0,,22.017803480000005,6.681343224,349.058192099,1.816956268,28.876183150000003,2.140990508,4.296698711,0.0,1.2189239390000002,7.519711216000001,0.0
Other Non Forest Natural Formation,0.49484797399999997,0.43584502,70.627942172,0.171064453,,,913.5367564530001,523.2337179250002,0.337052868,97562.49092473999,136.12607248299997,1620.4235090989998,107.65651849300001,0.9326638549999999,16.333137903,21.66889481,0.581496045
Other Non Vegetated Area,94.366389885,9.739436542,133.5957488,40.966824202999994,79.70539421,1.089019397,4490.814969794999,180.163943621,21.043838366,73.19246826199999,128385.9227734,2306.264015012,120.472695898,131.057918841,8.613438518999999,1701.1588742650001,9.181613354
Pasture,32464.976174665004,0.175267145,170.77097206899998,939.368382593,3393.9400829140004,6.944437476,375123.17200250004,30388.541634769997,5.932571185,1489.9932828820001,2276.205220817999,41455876.2218,115.579175876,269.946700706,8.417114209,3020.3968602130003,413.23204091699995
"River, Lake and Ocean",43.817161125000005,634.9289728729998,71.270171039,8.785211859,0.47590764799999996,0.24762045899999996,264.431184629,332.911609825,9.649348315,19.448709556999997,138.877035334,87.81820978500001,1793313.936198,0.930159222,24.932602634,8.585238275,68.264929517
Rocky outcrop,0.0,,0.0,2.11541485,,1.6797430359999999,587.7998460289999,635.701017821,0.0,1.529539942,55.042522576,545.5688634410001,4.0315236389999995,149517.17828600004,,0.591638953,
Salt flat,0.08895483400000001,0.087930231,0.263332373,0.0,,,25.915819176000003,8.978027971,0.872239472,6.827891943,6.55425382,0.779890515,46.898986955,,9408.392770769999,1.785744179,0.175075244
Urban Infrastructure,0.9750464609999999,1.4985681030000002,34.6196072,0.0,0.0,0.505890796,11.168390586999998,1.8321857799999999,3.585723567,0.25850303399999996,3.455585449,4.823273645000001,1.925806091,0.0,27.655320607,1165567.2915171,0.0
Wetland,106.65826229100001,,0.0,278.25745208,0.0,,4103.229486274,5357.819605269001,0.0,0.33230752,47.243233676,945.994549411,520.340294793,,0.08737923,0.083718933,399698.3477845
