,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,12441279.90692878,0.088740637,3.4698648320000003,4844.694432943999,198.29778212300002,2.904793805,69085.66182245998,1337.580429296,0.088240851,6.162676123000001,81.526279704,34654.475217889994,251.43364878600002,0.0,0.0,537.3806127419999,104.750289826
Aquaculture,0.0,7094.045675090001,0.0,0.58955246,,,11.563050432999999,1.255798883,0.0,0.087042834,1.742300397,0.0,149.042563154,,1.063666785,0.577505872,
Beach and Dune,0.7113204339999999,0.0,68757.00531369999,0.0,,,276.893082212,0.172952252,41.70314728100001,139.45176071,422.3020220799999,65.638508601,38.285664780000005,0.0,0.263159436,102.74439426299999,0.0
Forest Plantation,1424.578630403,0.0,0.169559234,1990370.1897924873,6.62985548,0.336680084,1103.0287905510002,4931.8708050410005,0.0,0.494757202,2.044566126,390.96524845199997,2.9129236090000004,0.7446181759999999,0.0,20.423141326,0.747255817
Grassland,4957.837340015,,,1537.056004462,1322896.565872804,0.0,4767.214389174,2604.521571831,0.0,,105.17604328499999,2180.2307714119997,57.178890722,,,3.944163349,0.0
Mining,0.0,0.0,,0.8288514339999999,0.078817102,23238.107252300004,9.447436119999999,1.1781280029999999,,,13.355864041999999,2.095103802,0.24476239,2.1012889340000003,,3.9914287470000005,
Mosaic of Agriculture and Pasture,495974.99930878106,19.960010655999998,129.180363138,11775.33048208,455.41997984799997,4.167724096999999,17769661.660520002,87715.136447751,24.096739538000005,1245.6985990130001,5265.155249924001,111343.15705229998,1074.291739883,570.1494052759999,16.651013200999998,3206.2795768419996,3664.764605571
Natural Forest,1107.2903844860002,0.0,0.0,17077.552772373,661.3999894159999,7.074355243000001,109229.97909871403,32597537.62087834,7.0274065440000015,772.5922406299998,1078.5101015510002,28402.711062418,883.3749215730002,1531.52907874,1.858721539,104.781244521,3222.8284069840006
Non Observed,0.25832683700000003,0.0,25.418023041999998,0.0,0.0,,27.941610642999997,4.985298474,343.516947981,0.511839575,35.37876560200001,2.339597606,7.653118774999999,0.0,1.558351519,14.008325055999999,0.0
Other Non Forest Natural Formation,5.398277104999999,0.788364343,187.94642400799998,2.153956988,,,856.5933606389999,235.869356313,0.9399546079999999,109624.46104468803,510.221732012,260.052615565,54.908325029000004,1.017296735,20.806219774000002,0.7639257939999999,0.747640778
Other Non Vegetated Area,1146.063779462,0.0,95.08785639,32.316776012000005,7.014634699,0.0,1579.7731005959997,133.06543935899998,27.618021974,339.777285198,98938.536038,1239.796765636,385.56055134100006,34.723928056,3.182240174,491.83616560300004,3.3489409789999995
Pasture,69365.97899017,0.0,86.00653569,20208.993399768,1571.677670189,19.360753671,396789.771694,22290.933845797997,4.664086792,1172.8551967919998,1347.6697309640003,38623220.89384,99.08287639499999,237.492425208,0.947783862,538.591511846,128.501479296
"River, Lake and Ocean",50.308478597000004,22.682651948,16.844390309,8.570859075,0.8647260800000001,0.9810025019999999,278.08984892800004,317.46954503899997,14.164383217,17.980107742,196.766054316,23.196854398000003,2014687.5111580002,0.253770819,12.127679327,3.988241175,32.304259436
Rocky outcrop,7.946259442000001,,0.0,25.228685152,,4.703072968,538.4941071970001,568.658502368,0.251978577,1.263188232,171.65457500800002,336.270338739,0.58736319,171668.13097300002,,1.2591946840000001,
Salt flat,0.0,0.7086715209999999,0.6109235660000001,0.0,,,23.453649883999994,1.6745244989999999,1.372229785,3.468242077,2.814618329,0.262973193,56.1359293,,8810.909624850001,2.944121479,0.0
Urban Infrastructure,0.9794585510000001,0.0,32.410358978999994,0.0,0.0,1.0834559990000001,11.749134491,2.09033075,4.547117870999999,0.255292176,4.400330481,4.863609802,1.321593414,0.084158765,1.8347687430000001,1500279.7042802002,0.0
Wetland,35.415766165,,0.0,0.24916004600000002,0.0,,2021.7549782879998,1296.3244915429998,0.0,0.0,18.381457918,222.68859594199998,75.493388829,,11.90490406,0.0,356376.94681129995
