,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,18947648.689117987,34.8548949,3.107836688,4360.938843970999,0.788773688,0.0,51016.79041593499,2384.4709323360003,0.162324346,18.593663526999997,88.30827870499999,20599.606584523997,108.97408016099999,1.733016266,0.0,378.57337788899997,81.18333630000001
Aquaculture,17.40932506,6115.7006652909995,0.0,3.3687704710000004,,,96.81061114100001,1.744185992,0.0,1.1279731929999999,12.156976813999998,0.175389837,1648.51085109,,0.528491485,0.082577625,
Beach and Dune,4.5351885560000005,0.0,62548.6876575,0.08459716199999999,,,93.23402546700001,0.0,21.313022328,109.97813745799999,139.74631401700003,33.309775705,27.505207705,0.0,0.088228772,46.143890930999994,0.0
Forest Plantation,10001.347788703999,0.0,0.169117505,4118462.714911671,6.001199005,0.0,738.0225584749999,1495.0393890220003,0.0,1.170228644,4.188366332999999,105.95246546300001,6.413784974,0.25331002199999997,0.0,0.0,0.083218732
Grassland,678.930381196,,,28.385935404,1037634.219298187,0.0,4680.003480148,223.408119351,0.0,,17.286293822,1171.15332777,4.328539428000001,,,0.07853825099999999,0.0
Mining,0.484211902,0.0,,0.904934918,0.078811591,27658.053229099998,16.336625604,0.5095345410000001,,,23.496704806,6.254930322,0.41122174600000005,0.336417609,,99.994545659,
Mosaic of Agriculture and Pasture,300339.71717046696,80.658164885,53.03218584300001,4240.87055768,420.275264958,4.0713887159999995,16965149.289000005,71420.95767107801,25.065708562000005,991.581303188,3900.4464139599995,125878.4563477,620.8141100489999,629.238825719,47.673254473,533.682789505,2756.965793454
Natural Forest,12298.435293239005,0.17672302199999998,0.524596772,16727.944291887998,313.197162107,0.42135897200000005,93783.00883600001,33324482.021691024,7.133708433000001,1235.2063268539996,298.28169899700003,16378.537079214,527.354065014,408.55809186600004,1.408663117,87.985831669,3902.3827672859998
Non Observed,0.599403527,0.0,29.510893081999996,0.0,0.0,,25.810135058999997,8.621031489000002,364.374789423,0.34415877000000006,38.65714077799999,2.6533493590000004,9.952702344,0.0,0.086962604,9.051002733999999,0.0
Other Non Forest Natural Formation,93.06610586800001,0.34972374300000003,38.200327438,2.111531427,,,2555.722537343,319.349311263,0.5041824460000001,120115.46510162398,199.76672752700003,728.581904306,119.30931685399997,15.949321916999999,49.695711504,0.342231884,0.0
Other Non Vegetated Area,332.5267616659999,15.954364412,86.66502063,50.552044752,13.327879338999999,2.010326331,2602.280919058,155.60282764000002,33.995966061999994,211.649816209,140571.901492,594.1922311679999,303.396089519,117.026968984,0.9521142210000001,58.765261031,4.13882782
Pasture,144310.144909174,1.0363853509999998,115.15144743100001,2299.001304181,603.2238154300001,0.844501001,256063.4064011,12047.178136808001,4.600786194000001,413.34310650599997,2040.7120408720002,30180453.355500005,186.062737931,451.749764844,0.349426239,577.603938543,168.170487577
"River, Lake and Ocean",1049.518198433,110.351095843,4.5858284000000005,3.103681745,2.594374372,10.477622778,677.4417062109999,423.2629201730001,10.036068438000001,25.770423505,886.6869758370001,11.224304307999999,2075721.8271670002,3.8691730229999997,14.486198285000002,1.942255632,673.2196302109999
Rocky outcrop,16.831028675,,0.0,34.458104294,,5.376360535,370.202418599,213.397439744,0.0,9.260700561,73.27969861999999,457.402740835,0.33813223299999995,183926.94547900002,,0.17224193100000001,
Salt flat,0.0,0.17550988099999998,0.0,0.0,,,4.351902575,1.507158997,0.08244328,4.821898255,0.496467394,0.079544812,6.152370684,,8989.622541330002,0.404093689,0.08740389999999999
Urban Infrastructure,4.960271856,10.310916138,84.85930471399999,0.0,0.0,9.291323975,18.819304395000003,2.144367632,7.7134538500000005,0.17507286300000002,5.3290891789999995,4.5274710559999995,1.3181398620000002,0.08398701800000001,1.25047572,1888807.0763598997,0.16610671999999999
Wetland,138.65231688699998,,0.0,0.0,0.0,,3203.1444329369997,1923.4155404239996,0.087441321,0.24905017100000001,17.317434234000004,293.10050218099997,291.617967948,,0.0,0.0,369536.0262066
