,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,9828151.754138863,0.0,1.6869622130000002,2202.2287873370005,132.31736610000002,0.080668549,85168.427974737,2004.364699621,0.0,1.075516931,102.848623189,45028.333084714,25.649421765,0.165060474,0.0,530.1191014139999,8.594384039
Aquaculture,0.17777124,3612.00651024,0.0,0.0,,,1.1935381409999999,3.0242254939999995,0.0,0.087081604,4.502059699,16.80730959,196.44872124199998,,0.176886926,0.16506687,
Beach and Dune,0.355919305,0.0,83246.48246930001,0.253266284,,,120.556408552,0.261338062,20.772221094,189.128165772,297.89293291600006,45.697655061000006,2.141632471,0.0,0.442579547,27.907125628999996,0.083058795
Forest Plantation,102.215193707,0.0,0.0,1222779.1132069002,3.89621955,0.7577008059999999,4279.15757983,13162.3115319,0.0,3.065199231,34.790279835,19107.134171012,10.587158282999999,0.0,0.0,0.243077161,8.776835468
Grassland,11.21154195,,,216.83489848999997,1538820.001873023,0.0,1675.706887299,2428.704518036,0.0,,8.184492188,6594.084103391999,3.303937305,,,5.610472297,0.0
Mining,0.0,0.0,,0.168361829,0.0,22432.40632095,4.685166197999999,1.595323102,,,14.869128648,6.038609075,0.41941033299999997,1.848571033,,6.839273768,
Mosaic of Agriculture and Pasture,174086.62466457,41.023625546,129.143326804,7075.807866277,508.795621679,7.8623168020000005,17477097.56891,135460.99701799997,25.728335686,1029.544428052,4286.4632578870005,278479.7589501,1397.394412789,369.9747075470001,30.850411030999997,5859.211508651,2916.1680391259997
Natural Forest,881.228923873,2.130830683,4.162712792000001,18952.868989847,758.0351448830002,20.141161236,198347.24474794997,33936434.430631585,7.582018939999999,713.762663063,2194.120614128,54186.02597860001,1926.884816926,1151.5195515889998,20.509306235,347.196870439,6191.866452840999
Non Observed,0.0,0.348351941,23.324386267,0.0,0.0,,19.707189453,9.207202282999999,320.047421954,0.856689435,33.014525731,2.244838684,6.639226378999999,0.0,1.250851678,9.8017748,0.0
Other Non Forest Natural Formation,1.316796264,0.0,24.284951242,6.47755133,,,2165.0139938690004,1821.4750303239998,0.599482239,123825.41887401,273.90908002299994,976.5665496789998,68.87250340199999,1.267052979,47.400776543000006,36.751560848000004,0.082919147
Other Non Vegetated Area,65.449882344,25.795165111,68.90879824299999,271.299442774,2.7580785939999997,1.840715948,6679.5515303,964.2689157480003,31.577141462000007,1042.606506303,150738.767161,4542.613348615,254.237303924,73.411648004,2.374714904,1611.438203835,11.617175438999999
Pasture,28255.857826943,0.33947156300000003,122.81408120900001,15891.029372617,2413.2662361989996,7.523879651,287695.9469559,22350.922584411004,2.557681,493.56074405600003,2083.392601553,41502465.176289,116.19613818599998,251.29582848800004,0.337088831,2365.421837919,367.875643299
"River, Lake and Ocean",8.180670783000002,541.348958247,100.145310119,1.35096361,3.144990326,0.25266133399999996,213.827210297,361.70827633399995,13.039735991999999,68.252494931,272.405527539,84.957679813,1707121.435673,0.08422731900000001,13.457348553000003,44.049140428,20.424646109
Rocky outcrop,0.0,,0.0,3.2950692810000004,,2.9399560360000003,409.045399384,198.849085478,0.0,24.212661647999997,61.12644482,261.802602774,1.424094947,147071.87696499997,,0.167784283,
Salt flat,0.710180029,0.266868585,0.0,0.0,,,23.640134410000005,2.834356751,1.907378375,2.5048289610000003,6.309421509,0.172347363,18.030944305,,9925.85406536,1.8032622680000001,0.087441406
Urban Infrastructure,0.31900476099999997,0.0,18.268970214000003,0.0,0.0,0.920105597,8.787015290000001,0.502516553,2.337856195,0.0,5.858946979000001,2.778720306,1.410964032,0.0,2.232641839,1009376.4616238998,0.0
Wetland,49.86252278800001,,0.0,92.573608999,0.0,,3737.0562714839994,3531.9289351340003,0.0,0.664271472,9.648851807,725.729427694,835.7373400470001,,0.26242948,0.24893942300000002,415937.00616159994
