,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,11010670.402420236,17.684495197,2.738632452,86695.89544699,1633.2622935199997,47.685147258,333242.850645835,34866.46675062,0.33764649700000005,165.613130606,3310.754996664,194583.955395915,3021.4638538179997,1.8160840999999999,0.176095263,30813.553404833,165.711803867
Aquaculture,0.0,5024.183038159999,0.0,0.421109534,,,404.23507027399995,12.082634491,0.0,7.138258417,38.313868258,38.297535056,720.373379414,,31.30535008,26.577059159,
Beach and Dune,46.169299517,0.0,60157.5347903,10.22634444,,,2880.539352143,5.767111738,100.444199463,1451.4278664580002,1520.213024785,510.10998674300004,527.4003721199999,0.0,2.006372674,1649.5026660199999,0.165949182
Forest Plantation,29095.173685459995,0.0,1.019836474,1833791.4987566,200.19205457100003,94.252688826,3451.4113878179996,16401.072441495995,0.0,4.081851353999999,30.241045016,3854.31671467,11.781277968,0.417067584,0.080319513,1416.396203051,1.319822833
Grassland,144086.49894017703,,,106587.345460144,1103459.730538604,0.157651147,11607.316012669,14749.02692013,0.0,,341.253155698,8374.418208822,659.0633814300002,,,341.34501266300003,0.0
Mining,7.565909119,1.15242948,,7.5819170840000005,0.867399213,21443.701915299996,295.30927829800004,37.375871775,,,39.584856792,148.41728870999998,190.23412147,39.56738619,,607.212823147,
Mosaic of Agriculture and Pasture,1968052.9249788688,865.8170020840001,731.379624466,226588.160552977,1350.205373456,607.920164775,13412460.01766,589398.45873313,42.544989385,3045.6244232579998,9532.08966542,1332089.07647,14985.328006649997,3630.1354990100003,133.692674293,137766.80123036003,13555.78546367
Natural Forest,208821.33756716203,90.50585236,21.925259707,506747.241539701,3964.376546734,2510.1554824450004,395589.682784705,31013540.55002,26.566053409,3130.810869233,2398.7391157380002,724816.1260421551,33742.694193202005,1973.2061994529997,50.58138428800001,18835.685737217,9622.953743348
Non Observed,0.5219577510000001,0.0,45.289000503000004,0.238430029,0.0,,56.932119892,17.747559312000003,185.43309527500003,0.5975109249999999,64.014952003,6.9738418939999995,43.247179386,0.0,1.38331466,44.215530738,0.087443219
Other Non Forest Natural Formation,647.612855015,76.413796391,920.916047895,110.51201803,,,3068.5851521170002,1456.4555641359998,0.42470189199999997,102217.89116260699,699.338516726,2630.945310081001,941.73208836,3.48665105,136.189711061,236.31822703400002,0.249261218
Other Non Vegetated Area,1048.0384669429998,94.865715315,841.949623201,423.362927992,106.611260143,60.38438109900001,10803.62506303,596.0022029589999,63.10660931000001,641.578869928,105118.0942187,6572.332804018,1414.243390667,917.501480429,8.516974425,8745.49082518,47.499170783
Pasture,4793695.154649542,713.40682749,2147.612682272,767525.38337407,3619.1855039380002,736.443243792,3745593.026506,1113116.749104364,3.1754932369999995,12906.583276406,10492.438081479,30106538.396369997,18316.038006274,2460.8723639150003,9.358432849000001,110370.05520115,22958.187338033
"River, Lake and Ocean",1261.2180362559998,466.06223786199996,480.93511289699995,306.833628441,20.74930572,178.09396610599998,1457.991235807,1634.6505309220001,51.942889355999995,114.53992532700002,2031.8408117040003,831.411160396,1976666.337627,35.154656440000004,252.54570303199998,769.6946628360001,440.158099793
Rocky outcrop,12.736012931,,0.0,344.208890661,,724.99444,833.5271968139999,1714.3003859710002,0.0,24.845202822999997,737.2558565039999,789.4006001949999,22.858864113,167030.00905199998,,369.73044405099995,
Salt flat,0.352473529,20.928713096000003,10.960813012,0.158960339,,,209.478108493,218.50141604200002,4.821799639000001,36.039730401,23.769510806,7.393254333,139.977347316,,8268.528718639998,157.389479012,0.175074158
Urban Infrastructure,1.799635242,22.775907533999998,282.718810027,0.32960246,0.078263428,92.128325398,9.806070928,6.473554719,12.659318361,0.166886603,1.5641618229999998,4.2550948250000005,2.976187763,0.083918219,28.981612253999998,1437055.7403442,0.0
Wetland,659.6079429559999,,0.49815646399999997,3.4271527350000004,0.0,,9753.411683109001,23588.557729955,0.0,0.24924807699999998,29.019539977,7944.7471928899995,5519.923265396,,1.138286548,23.97090638,323416.3408059
