,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,15857637.228550846,146.90495410000003,3.908746618,66207.07703703201,946.3414169849999,4.849703351,302467.51813541393,26987.815258898994,0.41948676100000004,61.55567323299999,2710.592860102001,273959.55355127295,2349.4503482989994,0.250214069,0.4409107790000001,27542.060431309004,1008.122595805
Aquaculture,16.340182737,7549.364439069999,0.0,3.6840002619999996,,,224.936725611,39.275941597999996,0.0,14.104761946,52.43774752699999,112.046465925,393.180725166,,8.154721224,13.762396851000002,
Beach and Dune,69.391281451,1.053063593,61995.5824948,10.73125189,,,2425.3993051059997,3.42796297,95.02812971500002,558.625775473,871.1599347609998,1007.1870393300001,366.37725288599995,0.0,1.29548612,756.193028676,0.08301452
Forest Plantation,49648.35738953299,0.084221741,0.0,3239654.944523389,24.217427802,35.994108562,1736.1700410849999,5890.758963055,0.079482648,1.4516591920000002,18.19836355,1903.5607970170004,4.543148638,0.595223505,0.0,1249.15667812,0.08328608400000001
Grassland,68476.57384016099,,,17714.08318867,1048546.6287213999,0.867389185,3808.445032169,3567.8607116800003,0.0,,128.340003189,6180.894642685001,250.22657589,,,170.619411861,0.0
Mining,11.639523285000001,0.5318861999999999,,7.4846310119999995,0.0,21035.045036699998,134.93129350200002,7.8000205440000006,,,85.979970629,63.81427538999999,63.89294984,3.529556683,,586.655286284,
Mosaic of Agriculture and Pasture,1474845.9846729827,694.0006729109999,596.145742169,85225.324825391,872.8230338650001,380.64043259799996,14392003.159370001,466842.00811382703,48.856000885,2232.0631567480004,8917.836651059999,1444502.141953,7197.863212060001,1540.1573361800001,92.693318535,74105.1739649,11596.400825679997
Natural Forest,116899.19895868898,24.258668069,0.531431489,231101.28273545802,1611.6550650479999,733.493737792,373296.6349639591,32061240.062613744,25.274220552,613.5752536360001,1586.44474531,360239.27292158,9047.591835645,714.1838937830001,57.477326733,7451.920223276001,9805.338301983
Non Observed,1.080784399,0.0,35.494470953,0.476876819,0.0,,42.075515305,15.139204877000003,223.351945846,0.522874512,74.24849051500001,6.1428810060000005,34.29536829,0.0,1.9697750899999997,35.397405967,0.0
Other Non Forest Natural Formation,762.135176528,6.2094289620000005,104.81706191999999,50.7601284,,,4779.004250077,1509.5063278259995,0.671925769,105435.527419897,1313.6450435289998,2414.30695682,295.98454606099995,14.940428674,42.069710563,33.694140492,0.41511665
Other Non Vegetated Area,1181.239827311,81.20658294100002,621.9863018589999,176.45530541000002,68.87098625,484.583132857,5175.475046040001,294.31461074,40.800437781999996,716.5479380809999,107994.67268169999,3366.871998348999,855.953347868,433.7737319040001,2.3864687620000002,4587.20626247,5.810162483
Pasture,2374797.0523054176,370.93606494999995,1381.5273620540002,149369.77610061,1198.9226767009998,141.23099019000003,2501644.929318,411576.6420351011,3.7132303710000003,5486.184301122999,8079.443703011001,28335862.52829,3169.8928073460006,1696.9313885819997,3.587672553,48559.79199334,6999.354759668
"River, Lake and Ocean",2577.1463996919997,488.93585906,202.775864526,247.90250036299997,23.764857875,226.95989241,3080.204371458,2403.042726932,36.56906563,132.882111254,2414.419874782,1158.6819445690003,2044772.7042710003,36.315961832,83.63087160200001,355.29411993099995,906.395697294
Rocky outcrop,28.136307539,,0.0,301.929286527,,551.0711284,1215.5113139970001,1332.8173707629999,0.167985577,9.662935486,911.1579969560001,989.185524833,6.804065454,177143.50773800001,,302.327184563,
Salt flat,0.602124506,25.92360644,0.782076252,0.717771057,,,109.05956726199999,29.694515961999993,3.4142026430000003,48.267001249999986,26.251750188999996,1.5670625,147.256020133,,10428.678207559999,87.468296482,0.96398977
Urban Infrastructure,1.327589513,26.384856667999998,191.72116830299996,0.165372522,0.0,457.401198583,13.938670228,3.8376717119999992,12.757363019,0.170094519,2.5212899779999995,5.051783030999999,3.231418489,0.0,24.5600465,1686449.4353389,0.166139673
Wetland,831.6633167920002,,0.0,25.018422782000002,0.0,,14584.483000992997,18258.723009555004,0.0,1.660674835,52.905574144000006,6357.198011977999,914.022111356,,0.262137073,11.997021143,325462.7777808
