,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,10857079.556407044,71.018564119,6.775537372,80218.169982733,1330.5657726809998,46.478528812,234852.82987370694,33856.861193506,0.425870697,67.68792952000001,3303.315532769,170039.61167616805,3631.5216482949995,0.082044397,0.354952569,46031.688086785995,303.82946012
Aquaculture,0.262901453,4340.301613219999,0.0,0.0,,,161.538438066,18.570019547,0.0,8.709155317000002,67.354208788,33.939304174,465.70926395800007,,13.237035881999999,18.450385419,
Beach and Dune,104.43297343,0.0,59991.679745999994,3.207094171,,,3043.5528026360003,8.317242601999999,88.599030037,1073.660834065,1429.0621880969998,1521.456373557,627.489646012,0.0,1.6570318609999999,1459.55111429,0.414914313
Forest Plantation,49379.987072129006,3.79001012,0.594112183,1767297.6518973,148.23693692900002,77.161551068,3039.647772454,15644.396928793998,0.0,3.773069904,14.791929323,4508.03722674,13.094966167999997,0.169077111,0.080319513,1679.5047045919998,0.16660634800000002
Grassland,184041.11713179701,,,116824.44089861299,1075171.8426333189,0.236601233,5924.4716174370005,11709.638113168001,0.0,,282.536387597,9735.837113509999,719.7963655999998,,,433.21855065899996,0.0
Mining,39.530669705,3.9891770139999996,,11.024306183,0.630600177,20747.0614233,436.87487705100006,63.029120289,,,63.697461102,233.62693808699998,174.733835761,44.17580707,,1091.039243616,
Mosaic of Agriculture and Pasture,2292567.4281996624,1651.7718547529998,555.2173590829999,249948.339492797,1036.994306669,617.7029121339999,12801712.939779999,603046.6755794389,50.998538622,2189.124098753,10588.503605459999,1517827.53113,24370.51839292,4147.71092664,171.54364237299998,177935.68449170003,11893.384862039997
Natural Forest,305473.902873615,145.969379813,29.841145097000002,577286.138949016,2502.70216032,2400.4562333689996,451874.2867547841,30754958.173266765,28.887350233000003,842.8557433709999,2525.4409818480003,808747.365607463,47261.11791049701,1684.6702514449998,65.16152967699999,25538.154768728,9367.658931102002
Non Observed,0.333892127,0.0,60.399492290000005,0.238430029,0.0,,51.481199729000004,19.798299053,176.70151948699998,0.609652356,61.133438411,9.236456714,42.400163881999994,0.0,1.7141198059999998,45.199436052,0.0
Other Non Forest Natural Formation,979.712074539,104.936231085,584.78279558,49.72200263,,,4385.474319165,1876.6377582559999,0.426230792,94000.760398824,1270.68192913,2059.2321308590003,919.0637677040003,6.1249918160000005,288.675402524,322.07352914300003,0.498516852
Other Non Vegetated Area,1411.796661457,132.14004438500004,902.941975705,377.39655988100003,60.110062283,52.433229385000004,7827.84404727,535.2942541350001,68.61577249300001,720.0978852030001,96303.14987510002,5649.778102468,1182.271091093,841.742478523,9.539948267,9997.534927219,64.24406335799999
Pasture,5732795.752784488,1185.6782558040002,2625.856690173,869039.9134798,2632.919693664,670.688763744,4110756.310586,1210227.4139302915,2.773112116,15608.599724762002,14010.825919871,28909902.945430003,24839.571249462002,2533.383907992,22.697795591000002,139751.93916929996,25121.73882872
"River, Lake and Ocean",2837.7546837920004,837.039937314,313.170154858,396.80861927300003,8.394298345000001,176.476018761,2469.7494424650004,2116.531156756,56.60649887900001,124.563154744,2813.7344793079997,841.312451329,1920402.80615,37.80329768,305.2674560120001,1060.5531918230001,332.17448094
Rocky outcrop,23.472939078000003,,0.0,203.365979554,,720.0888637999999,1066.5025954039997,1480.1308150769999,0.251978009,16.734264542000002,1145.4955703740002,639.295207517,18.300018978,159522.43248000002,,484.44083663299995,
Salt flat,0.6166372680000001,42.5264601,10.477134588,1.033484875,,,143.426815253,219.827292072,5.327368396,11.709058471,38.747026204,2.501631921,116.737427253,,8517.68305428,145.267991232,0.0
Urban Infrastructure,1.3994917049999998,44.789085743,437.65516560799995,0.165372522,0.078263428,60.84963646300001,6.737726734,6.779577453999999,12.012052112,0.0,1.427093993,2.9949009159999997,3.076215355,0.0,18.205296375,1401121.5133372,0.082655908
Wetland,842.4273998010001,,0.664192139,6.862286914,0.0,,15605.634937825998,28035.827343746,0.0,1.5774859380000001,60.357052916,12486.381701619997,20979.012509541004,,19.34454934,46.973401657,305362.4696988
