,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,9766553.951671768,0.0,0.088910864,1372.5083135049997,24.882588962,0.080678967,68651.240835806,2089.1041045270003,0.088207404,43.300345666999995,70.196924948,35882.994501228,25.252132724,0.0,0.176875995,1333.377537183,48.17123713499999
Aquaculture,0.0,3766.4654533799994,0.0,0.0,,,0.8867124630000001,0.0,0.348351941,0.0,0.256670874,0.175265991,1.185986255,,0.17238382600000002,0.0,
Beach and Dune,0.6214946720000001,0.0,83996.18525940001,0.337623181,,,148.69036749100002,0.17508108500000003,30.176031505999998,156.357572509,197.596773514,96.49496338700001,3.5637661809999996,0.0,0.0,23.306368055999997,0.165992084
Forest Plantation,150.893935337,0.0,0.422149701,1201992.6694406732,50.684941450000004,1.4303594419999999,4335.110587423,9922.391223389,0.0,25.908442145,67.804616981,2967.014810445,4.235960736,0.082063745,0.0,5.056941565,0.166237427
Grassland,35.799433749,,,1.34673335,1544465.0405463038,0.0,4317.602850029,1569.6512506970003,0.0,,8.369307928,7294.0027113,5.731689624,,,5.139097663,0.0
Mining,0.081045184,0.0,,0.168073047,0.0,22346.46975841,4.151659888,1.843433545,,,3.8465240839999995,1.414942438,0.420237433,1.7644829830000002,,1.9242339659999996,
Mosaic of Agriculture and Pasture,152630.28727163197,1.928249926,148.45357119,4433.002396481,663.5962474610001,4.582743195000001,17563557.6869,110760.237185422,24.972511438,1251.1518003959998,4758.119901792001,374452.0457714,1476.32021163,408.08646045499995,26.907271075,8900.720274496998,4584.999285960999
Natural Forest,1247.4222468800003,0.0,1.475304797,16819.887655336002,1070.765741761,10.646020362,251121.80904903705,34248506.14424476,8.613101795,2782.268168635,2723.8566563379995,56109.418750490004,764.386162359,330.327892523,8.301456671,464.101085988,7144.83256072
Non Observed,0.088255975,0.0,21.326919160000003,0.0,0.0,,24.548724713000002,6.9345571920000015,316.944755316,0.42238233599999997,31.537028832999997,3.5267826660000003,5.583482470999999,0.08399314599999999,1.5381684070000001,6.461991651,0.0
Other Non Forest Natural Formation,0.943442286,0.262001245,62.341860018,2.645124225,,,1739.564559984,329.640156903,0.686022315,121918.86247981999,418.756769354,687.737057008,41.17456660500001,8.429187769,8.931380932,23.933543122000003,0.41554937700000005
Other Non Vegetated Area,205.68388998299997,0.522436584,101.040575047,26.149393437,21.583366142000003,0.9088522399999999,8804.58644071,245.53966966800002,31.489563218999997,204.48601317600006,158745.9557914,3337.0194218250003,147.72345845499999,154.25908364,15.836973911,2262.851580098,10.658807996
Pasture,18302.426863246,0.0,237.445718828,5166.71033124,3451.915306558,3.9015033199999998,315876.1827987,30039.905543384997,2.06714336,1277.3352568839998,3647.7098235950007,41153914.529171,121.30570672600003,169.70989527799998,0.6970143489999999,2795.449756918,534.2902416969999
"River, Lake and Ocean",21.757581636,41.288064943,31.107300965,5.859690898999999,0.157673931,0.250413068,244.71416351800002,201.203666747,6.792371845,79.979430519,114.531959972,22.967695637,1703362.3706100003,0.16744910300000002,14.224046858000001,30.234176476000002,10.876349883
Rocky outcrop,0.165060474,,0.0,1.5249179869999998,,1.7639218630000002,426.08462231000004,244.11872886999998,0.0,0.680282281,60.894617347,282.789453734,0.336338507,146964.98210299996,,1.4326760920000001,
Salt flat,0.0,0.0,0.0,0.0,,,25.66773388,1.205943499,0.6123474360000001,5.170429431,2.493366515,0.08709735699999999,8.769921223999999,,9675.612356329999,1.568284229,0.087464496
Urban Infrastructure,0.163129797,0.0,25.750569611000003,0.0,0.0,0.505943597,7.040789057,0.32836939000000004,4.168982274999999,0.084126575,3.7383172979999997,2.765884502,0.9941584649999999,0.0,29.053028613,964423.6929217901,0.0
Wetland,34.002658369,,0.0,10.772168093,0.0,,2664.1648527879997,2745.576330584,0.0,0.165840625,10.56938363,796.983348085,135.952415207,,0.0,0.0,406370.06869549997
