,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,13079923.234610168,26.008979673,7.296526135,47848.005917184004,1061.6486348810001,14.197257021,292585.34271037404,11715.104136139997,0.685453443,130.303070686,1230.2127054519997,225839.858037461,1080.395674851,0.168070917,0.6156507259999999,6949.312649143,245.33834228300003
Aquaculture,8.246419774,6605.7847096000005,0.0,0.0,,,67.37045863,18.941696187999998,0.0,1.5670663759999999,1.334859937,3.326384344,208.892607024,,54.14305779,0.164876892,
Beach and Dune,12.101883592,0.0,59329.6680733,0.16899508100000002,,,431.171363352,0.349601135,42.52543635999999,131.84372171,425.358182808,508.15850122,88.94409189100001,0.0,0.353514221,200.86558464100003,0.087398486
Forest Plantation,9288.005390720999,0.421107721,0.678698706,2222097.388245032,60.526593346,26.414492615,3459.913280334,8478.163216295,0.23845728800000002,24.631395807,23.301118245999998,1156.356581072,3.414573754,0.336202557,0.0,238.760429996,34.87296759
Grassland,19662.816721971,,,55043.59055014101,1181552.984481323,0.0,11337.422301199998,12914.431434327002,0.0,,400.521767644,3475.2127621659997,268.128717475,,,75.887899963,0.0
Mining,6.026872821,0.0,,8.921939202999999,0.157765979,21815.2168595,186.084573817,3.9496838009999995,,,453.744868363,28.742603336000002,87.715178373,25.82521807,,461.44391939800005,
Mosaic of Agriculture and Pasture,1529549.3943481478,367.37043064399995,1340.459870247,109872.36995246202,795.658398365,131.380164044,15342975.36932,347054.339972421,42.026082589,2144.499757046,5276.82382217,1193657.754656,6395.315400607999,1516.5273280059998,126.48807392499998,37147.197332949996,9784.736871177
Natural Forest,27851.631739939,24.595062921,11.760421728,206111.05945448796,2706.4195474219996,679.15622436,251039.35817904503,32067474.777648997,15.893858892999997,1422.6694116250003,1030.4885729699997,242719.31860285698,14253.68431488,1975.0491750999997,9.548951898,3202.208299294,4869.175421617
Non Observed,0.41831763899999996,0.0,82.26816123400002,0.39754655200000005,0.0,,44.925001449,15.424749812000004,238.368174335,0.755932745,37.634248093000004,5.255721886999999,26.599334349,0.251978577,1.844964654,19.605361828,0.0
Other Non Forest Natural Formation,260.073756922,33.06150518,354.84882379100003,40.789356241,,,2801.0819188170003,850.4020455040002,0.684635919,107541.87690132401,1004.7221841130001,2740.347621755,244.55145942200002,3.648578155,169.911758887,67.887355306,0.0
Other Non Vegetated Area,760.0400172090001,129.492868034,1453.7519479110001,359.95572264599997,61.186183740000004,1.990407941,8187.014618210001,811.7769307679999,70.87709383699999,920.499736828,120754.21572230002,4374.553271768,706.508387951,258.497320242,18.104496547,4171.9645328530005,10.456580146000002
Pasture,1451763.9616212011,154.309757104,542.084334444,282452.942552326,2557.5571713810004,152.603051515,2269171.940116,332817.37280986196,5.164520392,5355.376767671,4963.32993431,33182208.524759993,4974.677277845,927.284317616,4.192892018,23142.422223002,7486.353625795
"River, Lake and Ocean",444.5917407959999,553.194617265,157.126926879,126.856263714,10.959405945,58.257718609,824.66396381,693.8088443710001,33.248197074,80.88955576699999,937.695609593,145.83997219699998,2021544.2731909999,0.419869867,204.09746818600001,283.547484487,230.189063373
Rocky outcrop,0.08402189300000001,,0.0,138.47011072499998,,134.9433791,561.86730926,838.347192216,0.0,12.593262988000001,424.349418867,452.11158776699995,9.907530158,171796.75876899998,,35.392199791,
Salt flat,0.618676978,6.737230713,5.047612195,0.0,,,95.434499481,58.104389428000005,4.990895935,16.401954165,14.489778473,0.6082815,44.477159082,,8969.47799939,45.749524668999996,1.311758136
Urban Infrastructure,2.2129301019999996,8.668511334,333.47627680100004,0.16422993800000002,0.078263428,24.499470125000002,20.056861334,5.818440676000001,14.784179956,0.339279566,2.8619700989999997,5.385409882,3.172253046,0.08399257199999999,20.499080273,1539613.8394511999,0.0
Wetland,886.617876423,,0.087401282,0.24982310800000002,0.0,,7908.628326810001,10329.789273292,0.081840173,1.162542633,15.390769127,5078.231751736,1167.677881579,,15.147382088,0.24828912399999997,349135.17102280003
