,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,11497705.973301489,26.187120687,0.800836639,58421.44937280501,1550.6594489420002,43.566805106000004,292904.392016684,15736.639860935002,0.088240253,242.439663761,1398.4555642399998,196189.905246767,1384.9350164440002,0.33612934,1.144006549,9836.752636256999,238.869351921
Aquaculture,1.3119908510000002,6120.350847169999,0.0,0.168440405,,,120.61019254799999,4.1102785079999995,0.0,1.2187261409999999,18.89509964,0.6123033390000001,685.866195104,,51.0363083,15.84252746,
Beach and Dune,9.965313971,0.0,65193.6407533,0.0,,,1217.794529944,4.113025811,53.448152799,593.630591599,1318.312081181,926.9374096189999,226.30425794500002,0.0,1.04865824,675.9058979920001,0.087398486
Forest Plantation,14073.568668694,3.453082672,4.13975866,1900599.7596439412,88.600025928,56.05703348,4344.4169431929995,20195.096763493,0.079488184,3.7181328799999998,16.011070609999997,2329.291710941,12.241990831,0.588574951,0.0,398.27516908000007,0.24911734600000002
Grassland,75465.36321768099,,,72923.205329336,1189582.629494055,0.0,12293.905969593,15581.26085926,0.0,,490.28252518100004,4819.9844358850005,339.54538006999996,,,106.935611395,0.0
Mining,10.141025689,0.26594564800000003,,15.232599777,1.49846933,21273.6288868,423.538708251,18.243721027,,,561.4911945800001,73.709326091,117.35824149499999,112.9563584,,646.978568623,
Mosaic of Agriculture and Pasture,1619314.0021720668,721.0952788480001,1401.234255397,137487.699888217,896.2080634150001,218.685520775,14375013.13119,424590.85792876506,36.207699378,2555.361551626,6123.733711509,1210067.649104,9762.72520062,2122.6003484599996,205.402211585,54924.681870060005,12148.806017728002
Natural Forest,97320.17647488302,75.823453413,18.026594025,290064.717800906,3753.4156840319997,1029.626583802,351335.052301312,31633266.689435586,17.359524365,1647.350150898,1153.771958338,445362.05616776104,19489.357196234,1921.8923931200002,46.964158311,6330.787228427,7083.5552908790005
Non Observed,0.337753846,0.0,86.52041626100001,0.31792829,0.0,,57.901203255999995,15.353556676999998,215.08530014099998,0.335965594,37.395485316,4.30563805,27.349362774999992,0.251978149,1.4238129460000002,28.291452244,0.0
Other Non Forest Natural Formation,162.836937443,47.18233299400001,1160.0237359779999,16.794170071,,,3247.0052303179996,974.893419272,0.42983554,100440.102852821,775.107978106,2051.498945054,382.99801647699996,1.6983122379999998,313.99792987399996,85.82061508100001,0.332374323
Other Non Vegetated Area,799.1696687110001,120.55315269399999,686.1640216459999,578.193629883,89.37554434399999,6.090754809,10837.151046399998,626.8993727320001,82.876385238,598.4232443599998,119405.67822829999,5875.613235329001,1368.2664061110004,448.221532551,24.964997502000003,4646.323116777,57.169750309
Pasture,2622303.3908070778,429.05318071100004,843.0210719180002,479147.52747668704,3435.1671807509997,331.007740153,3007515.276607,591789.024466224,4.828578551,9951.593321922,7198.649259490001,33371304.654790003,11362.722097889002,1007.081391983,20.060728873,39788.970813634,14232.033737559
"River, Lake and Ocean",510.30550838399984,343.465139537,256.831038939,145.487353398,8.055051476,56.664827681999995,940.8959812769999,1028.8405730649997,42.906184334,73.83672917599999,917.244197884,145.201118953,1997811.70831,3.7732669800000003,235.30238407499996,354.80347425499997,407.33565664
Rocky outcrop,0.331938733,,0.0,325.051281292,,197.9493246,722.0823682299999,1121.994056368,0.0,15.385620381000003,606.1732157810001,742.2476365379999,18.451626442000002,171502.44623499998,,74.07093227700001,
Salt flat,0.08825604199999999,19.436767231,16.067005162999997,0.0,,,143.95239195699997,116.021377878,5.816963543999999,11.342576666,17.446962927,0.9393895380000001,100.467628596,,8784.09296688,66.57454228399999,0.174926489
Urban Infrastructure,2.3044210319999996,19.15451702,291.99725057,0.0,0.078263428,34.761796393000004,18.718940778,6.150767054,10.816869398,0.418868603,2.1435504699999997,4.875084032999999,2.419469501,0.083918219,23.331367321000002,1476503.1521452002,0.0
Wetland,933.18275422,,0.415138855,0.249587848,0.0,,9965.102111293,14875.816604623999,0.169249652,0.166063892,4.269500622,5525.7988541859995,1543.996886481,,28.277748818,5.457806665,333827.2642752001
