,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,17561937.928298596,22.410773295,0.711606952,6344.362689431,139.582320437,0.177292755,74200.61489078299,3136.7970210289996,0.748545251,6.620244812000001,331.41262109999997,47771.67534744002,591.370247666,0.0,0.0,2297.459521502,51.697018939
Aquaculture,0.886068964,8396.00286143,0.0,0.084221881,,,115.49740851600001,0.68171925,0.0,1.041222565,32.556635949,17.411809776,105.47188216400001,,1.766627685,0.995968176,
Beach and Dune,5.247302521,0.0,63601.9187726,0.253454773,,,217.980873986,0.08824245,53.93260410600001,117.35643634400002,132.043819526,108.340445131,24.494993419,0.0,0.175458905,121.24021099999999,0.0
Forest Plantation,2684.707289633,0.252667731,0.168962219,3799657.69771,7.007227068999999,20.19144899,1424.6501670369998,7456.899584922999,0.0,0.335952588,3.267996478,694.4090996729999,6.946456737,0.340479431,0.0,192.030047048,0.166649585
Grassland,576.698439326,,,424.085856977,1075363.306840922,0.0,3549.487014196,691.2126082030001,0.0,,30.70659036,817.65164278,45.416112894,,,0.47073060899999997,0.0
Mining,0.079617798,0.0,,0.247257421,0.0,22911.483664,4.38945893,0.505475373,,,20.284768774,1.439083177,0.9102461070000001,0.9237856990000001,,24.115651296000003,
Mosaic of Agriculture and Pasture,501078.66299202305,21.866074544,205.13224537600001,6973.627584736999,530.279962644,22.122360698999998,17359875.45473,95286.40709508903,28.338117773,1263.956699439,3687.3987170299997,104893.317777,734.2016105790001,429.80744786,15.871902668999999,6929.653336720001,3171.334675959
Natural Forest,4421.739308830999,0.338834113,0.33333931799999994,21350.906791339003,270.164869163,71.93706469199999,76616.92923676099,33171984.061898544,9.328222766000001,399.667031227,497.856233702,25246.830862054005,444.3103998849999,415.25443913399994,2.810649299,357.757633975,1366.212706317
Non Observed,0.8159746330000001,0.0,15.957534912,0.399110291,0.0,,32.175827739000006,6.377803028,322.10016953499996,0.25197886399999997,54.255484476999996,5.1784136290000005,17.095391646,0.0,0.6023614869999999,14.901584076,0.0
Other Non Forest Natural Formation,16.073073628,0.693859821,80.519145584,0.92317738,,,843.6113454289999,190.776083183,0.690423285,109255.955923001,330.176164281,181.786576063,25.666999824,3.657074817,10.273216308,4.670099591,0.24908084100000003
Other Non Vegetated Area,107.12993545299999,5.861428564000001,221.80600481500002,14.842490752,12.038832459000002,9.743129955999999,1700.445863885,143.22447062700002,31.156657581999998,53.226594708,120430.04175919999,1057.0405453910003,270.865329591,94.03656114300001,1.5629098819999998,1310.6980209460003,2.768686519
Pasture,114795.011934771,0.17534754,86.557952685,2471.5328106690004,566.42702087,2.521433417,261952.99212799995,8625.671283636999,2.4925130669999995,574.055319161,1236.461441921,31510237.85365,13.046414019999999,387.51049904699994,0.17429379899999997,2147.0822288189997,135.764129493
"River, Lake and Ocean",158.939550118,273.312447945,38.317808315,29.975817866999996,1.494078772,17.858834983999998,401.65376217,243.72616800699998,21.547056487999996,39.470219359,877.490058791,96.26356448000001,2073498.3362409999,0.5907129760000001,34.403608677,28.913708223,53.284770596
Rocky outcrop,0.083572479,,0.0,3.540633307,,4.37186156,404.68394325099996,343.50464789399996,0.0,33.862184397,142.63538929,280.896130586,0.25647459100000003,176951.667398,,3.780220258,
Salt flat,0.0,0.887080712,0.0,0.0,,,20.500590918,2.4212813380000004,2.000912891,18.92086145,3.260628186,0.785322034,23.889715674999998,,9840.69819782,3.7445692639999995,5.0771837710000005
Urban Infrastructure,1.9045944760000002,3.050825171,47.70090836600001,0.082686023,0.07853825099999999,21.242240315999997,14.143146161000002,2.9317140329999996,7.166902983,0.750370514,3.747800593,4.860188074,4.058245429,0.167907678,8.237733630000001,1792530.1966183002,0.0
Wetland,135.45040874199998,,0.331756415,11.280392680999999,0.0,,2558.8385464890002,1547.187042078,0.0,0.166157135,6.306395996,256.976585754,53.213385075,,0.699118835,0.083713818,379635.88173350005
