,Agriculture,Aquaculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure
Agriculture,704197.8762878529,0.0,9.282169031,0.0,2617.464601739,,3134.269421988,23058.940809664997,0.0,,7.558346807,16063.428784564,9.976444010999998,34.682315145,0.0,948.047219071
Aquaculture,21.110709879999998,20961.6909083,79.69975884,,169.437931278,,178.36397181900003,256.157823231,31.594018626,,0.445241052,52.03198379,156.79669017999998,12.556291264,253.43501244,0.712919891
Beach and Dune,632.744565236,642.8718739999999,92960.94285,,449.21752347999995,,5624.0273268,494.539567678,450.41942714,,45.77163884,690.0859059000001,393.53133344,52.098983999000005,30.969943051999998,1913.8517562
Forest Plantation,6.286711926000001,,,870.49583761,0.0,,2.155222961,476.499113717,,,0.0,187.92470524499998,0.0,0.0,,
Grassland,58147.06571473,3949.0940305999998,349.33834177,4.094613379,2806187.7687378,19.05241934,377065.6591487,82563.45596875201,2.230645007,,7692.35725988,271678.1510906,963.2453920690001,1759.1857593639998,227.91917753,3382.2181521750003
Mining,0.0,,,,132.09061780800002,3005.6013879,15.761219946,204.90998863899998,,,0.088867889,24.850550946000002,7.090556836,0.086758331,,0.608218896
Mosaic of Agriculture and Pasture,373913.68270828197,4674.929968843,3361.6747812599997,54.41057394,160820.93666865997,81.19369568500001,5332326.08113,1308070.491626499,1.427275915,0.0,6756.4075752670005,3183622.8584399996,38792.39019890001,4152.443591938,110.27257,67882.0503736
Natural Forest,685926.1606441181,4537.59075746,3567.9256804990005,2053.44754909,126162.848219532,417.21195138699994,1355506.1170837008,48366438.63942344,21.664200018,,4317.883919587,5858174.8369839005,41946.334274992994,3762.0959807829995,252.962133991,32353.171583006
Non Observed,6.238212055,613.6779350899999,406.13041576,,19.003788876,,1.071344263,294.566448667,10725.033440692001,,0.089057068,113.55834207400001,17.917395622999997,0.089046899,111.482365051,189.752887763
Other Non Forest Natural Formation,,,,,,,0.0,,,0.08898602300000001,,,,,,
Other Non Vegetated Area,1617.2497965060002,819.27939244,407.18314286,0.08756788300000001,1233.8534770820002,0.0,22314.687194545004,3969.8151073109993,1.159009503,,112983.051715192,36572.070232127,711.451182854,4579.42189347,3.2071581179999997,2276.1831888780002
Pasture,445677.73712152004,153.943470379,42.655612349,226.888544847,73328.361891525,52.131685045000005,311866.546693,1279782.90187046,2.100858124,,5820.579819799999,11271709.6211,27278.150923499998,2265.343943803,0.7123459959999999,51758.16436100001
"River, Lake and Ocean",1012.5061870699998,2093.31876693,2605.3144625,15.650908411,8156.639997799999,0.528213843,82139.57779509999,100156.74302403498,15.421065814,,1382.022518201,133141.02520459998,510534.7906820561,1097.573636397,171.190078185,200.64248252299998
Rocky outcrop,8648.617817551,43.336257765,55.662465235,0.955899371,8035.564301459999,0.0,5833.872850454001,20438.100553140004,0.089215375,,317.147433508,47441.490621079996,64.17013445,98510.98974099201,0.35687318700000004,156.61274947299998
Salt flat,0.0,776.62424643,184.02121466,,555.4544300299999,,32.828300665,406.44842660200004,37.215169443,,38.689757654,3.7484407469999996,53.67084839,37.849766874,15336.309564,12.043106221999999
Urban Infrastructure,0.08845631699999999,0.0,10.246267969,,0.0,0.0,0.0,0.089212585,0.0,,0.0,0.08743985,0.08921439199999999,0.0,1.248937604,74573.3134033
